name,scn_name,bus,carrier,p_nom,p_nom_extendable,p_nom_min,p_max_pu,capital_cost,max_hours,efficiency_store,efficiency_dispatch,control,p_nom_opt
0 battery,eGon2035,0,battery,0.0,True,76.92601727041178,1.0,3696.556307552409,5.999999999999999,0.9797958971132711,0.9797958971132711,PV,76.92734939858846
1 battery,eGon2035,1,battery,0.0,True,222.24784528549702,1.0,3696.556307552409,6.0,0.9797958971132712,0.9797958971132712,PV,222.24872900193395
10 battery,eGon2035,10,battery,0.0,True,474.46167938531164,1.0,3696.556307552409,6.0,0.9797958971132712,0.9797958971132712,PV,474.4618052293203
11 battery,eGon2035,11,battery,0.0,True,205.26176483382935,1.0,3696.5563075524096,6.0,0.9797958971132711,0.9797958971132711,PV,205.2625542704881
11 pumped_hydro,eGon2035,11,pumped_hydro,1045.2,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,1045.2
12 battery,eGon2035,12,battery,0.0,True,278.93831932922865,1.0,3696.556307552409,6.0,0.9797958971132712,0.9797958971132712,PV,278.93880340543063
13 battery,eGon2035,13,battery,0.0,True,179.39033554298206,1.0,3696.5563075524096,6.0,0.9797958971132712,0.9797958971132712,PV,179.39088185679796
14 battery,eGon2035,14,battery,0.0,True,102.98916551308893,1.0,3696.556307552409,6.0,0.9797958971132712,0.9797958971132712,PV,102.99010176092176
15 battery,eGon2035,15,battery,0.0,True,108.14682161894264,1.0,3696.556307552409,6.0,0.9797958971132713,0.9797958971132713,PV,108.14823396120048
16 battery,eGon2035,16,battery,0.0,True,225.7306135804181,1.0,3696.5563075524087,6.0,0.9797958971132712,0.9797958971132712,PV,225.7313906552569
17 battery,eGon2035,17,battery,0.0,True,202.1786218842248,1.0,3696.556307552409,5.999999999999999,0.9797958971132712,0.9797958971132712,PV,202.17922629876944
17 pumped_hydro,eGon2035,17,pumped_hydro,730.0,False,0.0,1.0,0.0,6.0,0.8660254037844387,0.8660254037844387,PV,730.0
18 battery,eGon2035,18,battery,0.0,True,84.40701537084286,1.0,3696.556307552409,5.999999999999999,0.9797958971132711,0.9797958971132711,PV,84.40799378853579
19 battery,eGon2035,19,battery,0.0,True,190.20960642654128,1.0,3696.556307552409,6.0,0.9797958971132713,0.9797958971132713,PV,190.21066944946102
2 battery,eGon2035,2,battery,0.0,True,306.21100236913514,1.0,3696.556307552409,6.0,0.9797958971132713,0.9797958971132713,PV,306.21153018635255
20 battery,eGon2035,20,battery,0.0,True,446.20143266400777,1.0,3696.556307552409,6.0,0.9797958971132712,0.9797958971132712,PV,446.2016094269309
21 battery,eGon2035,21,battery,0.0,True,244.5865012287112,1.0,3696.556307552409,6.0,0.9797958971132713,0.9797958971132713,PV,244.58711970480775
