name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,marginal_cost_quadratic,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down
0,eGon2035,0,41604,dsm,15.739128741807523,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,15.739128741807523,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
1,eGon2035,0,48807,power_to_H2,0.0,True,inf,1372.6909325666213,0.0,,0.6999999999999998,0.0,0.0,0.0,0.008064985823808298,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,,
2,eGon2035,0,51816,power_to_Heat,0.12339789776433613,True,inf,25701.097106029367,0.0,,0.8805,0.0,0.0,0.0,0.0004312470190954319,,2035.0,25.0,0.0,0.0,1.0,0.0,,,,,,,
3,eGon2035,0,51830,central_resistive_heater,0.03064334079176296,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.03064334079176296,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
4,eGon2035,0,51830,power_to_Heat,0.054632998280258555,True,inf,18282.516615652956,0.0,,0.8805,0.0,0.0,0.0,0.0007544667443630641,,2035.0,25.0,0.0,0.0,1.0,0.0,,,,,,,
5,eGon2035,0,52027,rural_heat_pump,167.23995825197423,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,167.23995825197423,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
6,eGon2035,0,70458,BEV charger,300.6095524430275,False,inf,0.0,0.0,,0.9,0.0,0.0,0.0,300.6095524430275,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
7,eGon2035,0,79867,power_to_O2,0.004675682191780822,True,inf,507789.2303242113,0.0,,0.9,0.0,0.0,0.0,1.5997802835566273e-05,,2035.0,25.0,0.0,0.0,1.0,0.0,,,,,,,
8,eGon2035,0,79868,power_to_O2,0.009076580821917807,True,inf,215327.5002183417,0.0,,0.9,0.0,0.0,0.0,4.226982607441994e-05,,2035.0,25.0,0.0,0.0,1.0,0.0,,,,,,,
9,eGon2035,0,79869,power_to_O2,0.015106553424657533,True,inf,111485.68474529307,0.0,,0.9,0.0,0.0,0.0,9.012983229445256e-05,,2035.0,25.0,0.0,0.0,1.0,0.0,,,,,,,
10,eGon2035,0,79870,power_to_O2,0.014646399999999999,True,inf,62248.707720568316,0.0,,0.9,0.0,0.0,0.0,0.00017757049412532193,,2035.0,25.0,0.0,0.0,1.0,0.0,,,,,,,
11,eGon2035,0,79872,power_to_O2,0.01938198904109589,True,inf,148657.46843045857,0.0,,0.9,0.0,0.0,0.0,6.537267529550162e-05,,2035.0,25.0,0.0,0.0,1.0,0.0,,,,,,,
12,eGon2035,0,79873,power_to_O2,0.013719550684931506,True,inf,1489031.9010457762,0.0,,0.9,0.0,0.0,0.0,4.83050872105974e-06,,2035.0,25.0,0.0,0.0,1.0,0.0,,,,,,,
13,eGon2035,0,79888,power_to_O2,0.013327002739726028,True,inf,1205557.9232249581,0.0,,0.9,0.0,0.0,0.0,6.099750489208121e-06,,2035.0,25.0,0.0,0.0,1.0,0.0,,,,,,,
14,eGon2035,0,79889,power_to_O2,0.012321643835616436,True,inf,1508376.104331134,0.0,,0.9,0.0,0.0,0.0,4.7444193555687156e-06,,2035.0,25.0,0.0,0.0,1.0,0.0,,,,,,,
15,eGon2035,0,79928,power_to_O2,0.012212602739726026,True,inf,539125.8289263085,0.0,,0.9,0.0,0.0,0.0,1.5244809937547554e-05,,2035.0,25.0,0.0,0.0,1.0,0.0,,,,,,,
16,eGon2035,0,79929,power_to_O2,0.01930027397260274,True,inf,237742.42220022104,0.0,,0.9,0.0,0.0,0.0,3.848674860941503e-05,,2035.0,25.0,0.0,0.0,1.0,0.0,,,,,,,
17,eGon2035,0,79930,power_to_O2,0.009704657534246576,True,inf,94556.28772138969,0.0,,0.9,0.0,0.0,0.0,0.00010645425984475037,,2035.0,25.0,0.0,0.0,1.0,0.0,,,,,,,
18,eGon2035,0,79931,power_to_O2,0.021781369863013697,True,inf,612000.8360366637,0.0,,0.9,0.0,0.0,0.0,1.3373291343562487e-05,,2035.0,25.0,0.0,0.0,1.0,0.0,,,,,,,
19,eGon2035,0,79932,power_to_O2,0.006618794520547945,True,inf,1944286.5042650434,0.0,,0.9,0.0,0.0,0.0,3.4999564714301095e-06,,2035.0,25.0,0.0,0.0,1.0,0.0,,,,,,,
20,eGon2035,0,79933,power_to_O2,0.019202136986301375,True,inf,1407886.9698757487,0.0,,0.9,0.0,0.0,0.0,5.209863636749835e-06,,2035.0,25.0,0.0,0.0,1.0,0.0,,,,,,,
21,eGon2035,0,79934,power_to_O2,0.01861331506849315,True,inf,478030.7665185868,0.0,,0.9,0.0,0.0,0.0,1.7717237221898385e-05,,2035.0,25.0,0.0,0.0,1.0,0.0,,,,,,,
22,eGon2035,0,79935,power_to_O2,0.005896942465753424,True,inf,1592915.684359264,0.0,,0.9,0.0,0.0,0.0,4.350276863546347e-06,,2035.0,25.0,0.0,0.0,1.0,0.0,,,,,,,
23,eGon2035,0,79949,power_to_O2,0.01471618630136986,True,inf,1441688.3438264432,0.0,,0.9,0.0,0.0,0.0,5.024014250156625e-06,,2035.0,25.0,0.0,0.0,1.0,0.0,,,,,,,
24,eGon2035,0,80006,power_to_O2,0.010587890410958905,True,inf,853222.7145391463,0.0,,0.9,0.0,0.0,0.0,8.968423451234922e-06,,2035.0,25.0,0.0,0.0,1.0,0.0,,,,,,,
25,eGon2035,0,80009,power_to_O2,0.015767342465753426,True,inf,515622.6472510098,0.0,,0.9,0.0,0.0,0.0,1.6140575089369383e-05,,2035.0,25.0,0.0,0.0,1.0,0.0,,,,,,,
26,eGon2035,0,80010,power_to_O2,0.011630323287671232,True,inf,505581.4390654671,0.0,,0.9,0.0,0.0,0.0,1.643627958324197e-05,,2035.0,25.0,0.0,0.0,1.0,0.0,,,,,,,
27,eGon2035,0,80011,power_to_O2,0.012031594520547946,True,inf,1545048.6720561779,0.0,,0.9,0.0,0.0,0.0,4.6103386424155365e-06,,2035.0,25.0,0.0,0.0,1.0,0.0,,,,,,,
28,eGon2035,0,80013,power_to_O2,0.005233972602739726,True,inf,1900617.068834181,0.0,,0.9,0.0,0.0,0.0,3.5589997340180658e-06,,2035.0,25.0,0.0,0.0,1.0,0.0,,,,,,,
