,43770
0,0.9474998267870517
1,0.9488910501833182
2,0.9671209234752253
3,0.9645977750452415
4,0.9600874151594162
5,0.9403370722680688
6,0.9317737566929069
7,0.9185100246172725
8,0.9714443394530978
9,0.9701729688650905
10,0.9720025647657068
11,0.9662404107210599
12,0.9680799454821495
13,-547195853112760.2
14,-2602631590068460.0
15,-9114781712061712.0
16,-1898633496259.5723
17,0.9700106087617352
18,0.9668930896363738
19,0.9554508595979299
20,0.9628675284045757
21,0.9563659941050121
22,0.9582159431723974
23,-4276319705510842.0
24,-1.1336847565703e+16
25,-4388951914303.6777
26,-46553477.6233298
27,-5591082118948562.0
28,-5741611552957593.0
29,0.9715212543291362
30,-764989116786497.9
31,0.9631648797686101
32,-3135666.778369709
33,0.9557246635518793
34,0.9445424782591475
35,0.9683326702694289
36,0.9683179155485295
37,0.9653176511202803
38,-163737272820.60052
39,-2279308023979.9277
40,-3117554941410.9243
41,-1.0224327067718368e+16
42,-735185497516619.4
43,0.9312673902102447
44,0.9332532367634478
45,0.950234887311844
46,0.9750162471180427
47,-2484872010362.3545
48,-6720844814704162.0
49,-1.4030648748061272e+17
