name,scn_name,bus,carrier,p_set
0 AC,eGon2035,0,AC,0.0
1 AC,eGon2035,1,AC,0.0
2 AC,eGon2035,2,AC,0.0
3 AC,eGon2035,3,AC,0.0
4 AC,eGon2035,4,AC,0.0
43761 AC,eGon2035,43761,AC,0.0
43761 H2_for_industry,eGon2035,43761,H2_for_industry,415.02148427083335
43762 AC,eGon2035,43762,AC,0.0
43762 H2_for_industry,eGon2035,43762,H2_for_industry,1598.13083625
43763 AC,eGon2035,43763,AC,0.0
43764 AC,eGon2035,43764,AC,0.0
43764 H2_for_industry,eGon2035,43764,H2_for_industry,517.5741359166666
43765 AC,eGon2035,43765,AC,0.0
43765 H2_for_industry,eGon2035,43765,H2_for_industry,764.9263341666666
43766 AC,eGon2035,43766,AC,0.0
43766 H2_for_industry,eGon2035,43766,H2_for_industry,764.9263341666666
43767 AC,eGon2035,43767,AC,0.0
43767 H2_for_industry,eGon2035,43767,H2_for_industry,1651.7463891666666
43768 AC,eGon2035,43768,AC,0.0
43768 H2_for_industry,eGon2035,43768,H2_for_industry,863.4360502083332
43769 AC,eGon2035,43769,AC,0.0
43769 H2_for_industry,eGon2035,43769,H2_for_industry,863.4360502083332
43770 AC,eGon2035,43770,AC,0.0
43771 AC,eGon2035,43771,AC,0.0
43771 H2_for_industry,eGon2035,43771,H2_for_industry,1694.1099472916665
43772 AC,eGon2035,43772,AC,0.0
43773 AC,eGon2035,43773,AC,0.0
43773 H2_for_industry,eGon2035,43773,H2_for_industry,609.9109516041666
43774 AC,eGon2035,43774,AC,0.0
43774 H2_for_industry,eGon2035,43774,H2_for_industry,1201.6882454166666
48623 CH4,eGon2035,48623,CH4,0.0
48624 CH4,eGon2035,48624,CH4,0.0
48625 CH4,eGon2035,48625,CH4,0.0
48626 CH4,eGon2035,48626,CH4,0.0
48627 CH4,eGon2035,48627,CH4,0.0
48628 CH4,eGon2035,48628,CH4,0.0
48629 CH4,eGon2035,48629,CH4,0.0
48630 CH4,eGon2035,48630,CH4,0.0
48631 CH4,eGon2035,48631,CH4,0.0
48632 CH4,eGon2035,48632,CH4,0.0
48633 CH4,eGon2035,48633,CH4,0.0
48634 CH4,eGon2035,48634,CH4,0.0
49887 central_heat,eGon2035,49887,central_heat,0.0
5 AC,eGon2035,5,AC,0.0
50660 central_heat,eGon2035,50660,central_heat,0.0
50734 central_heat,eGon2035,50734,central_heat,0.0
50981 central_heat,eGon2035,50981,central_heat,0.0
51723 central_heat,eGon2035,51723,central_heat,0.0
52023 rural_heat,eGon2035,52023,rural_heat,0.0
52025 rural_heat,eGon2035,52025,rural_heat,0.0
52027 rural_heat,eGon2035,52027,rural_heat,0.0
52028 rural_heat,eGon2035,52028,rural_heat,0.0
52030 rural_heat,eGon2035,52030,rural_heat,0.0
52038 rural_heat,eGon2035,52038,rural_heat,0.0
69893 land transport EV,eGon2035,69893,land transport EV,0.0
69895 land transport EV,eGon2035,69895,land transport EV,0.0
69898 land transport EV,eGon2035,69898,land transport EV,0.0
69900 land transport EV,eGon2035,69900,land transport EV,0.0
69906 land transport EV,eGon2035,69906,land transport EV,0.0
69909 land transport EV,eGon2035,69909,land transport EV,0.0
69910 CH4_for_industry,eGon2035,69910,CH4_for_industry,0.0
69910 rural_gas_boiler,eGon2035,69910,rural_gas_boiler,0.0
69911 CH4_for_industry,eGon2035,69911,CH4_for_industry,0.0
69911 rural_gas_boiler,eGon2035,69911,rural_gas_boiler,0.0
69912 CH4_for_industry,eGon2035,69912,CH4_for_industry,0.0
69912 rural_gas_boiler,eGon2035,69912,rural_gas_boiler,0.0
69913 CH4_for_industry,eGon2035,69913,CH4_for_industry,0.0
69913 rural_gas_boiler,eGon2035,69913,rural_gas_boiler,0.0
69914 CH4_for_industry,eGon2035,69914,CH4_for_industry,0.0
69914 rural_gas_boiler,eGon2035,69914,rural_gas_boiler,0.0
69915 CH4_for_industry,eGon2035,69915,CH4_for_industry,0.0
69915 rural_gas_boiler,eGon2035,69915,rural_gas_boiler,0.0
69916 CH4_for_industry,eGon2035,69916,CH4_for_industry,0.0
69916 rural_gas_boiler,eGon2035,69916,rural_gas_boiler,0.0
69930 H2_for_industry,eGon2035,69930,H2_for_industry,0.0
69930 H2_hgv_load,eGon2035,69930,H2_hgv_load,0.0
69931 H2_for_industry,eGon2035,69931,H2_for_industry,0.0
69931 H2_hgv_load,eGon2035,69931,H2_hgv_load,0.0
69932 H2_for_industry,eGon2035,69932,H2_for_industry,0.0
69932 H2_hgv_load,eGon2035,69932,H2_hgv_load,0.0
69933 H2_for_industry,eGon2035,69933,H2_for_industry,0.0
69933 H2_hgv_load,eGon2035,69933,H2_hgv_load,0.0
69934 H2_for_industry,eGon2035,69934,H2_for_industry,0.0
69934 H2_hgv_load,eGon2035,69934,H2_hgv_load,0.0
69935 H2_for_industry,eGon2035,69935,H2_for_industry,0.0
69935 H2_hgv_load,eGon2035,69935,H2_hgv_load,0.0
69936 H2_for_industry,eGon2035,69936,H2_for_industry,0.0
69936 H2_hgv_load,eGon2035,69936,H2_hgv_load,0.0
69937 central_heat,eGon2035,69937,central_heat,0.0
69938 central_heat,eGon2035,69938,central_heat,0.0
69939 central_heat,eGon2035,69939,central_heat,0.0
69941 central_heat,eGon2035,69941,central_heat,0.0
69942 central_heat,eGon2035,69942,central_heat,0.0
69943 central_heat,eGon2035,69943,central_heat,0.0
69944 central_heat,eGon2035,69944,central_heat,0.0
69945 central_heat,eGon2035,69945,central_heat,0.0
69946 central_heat,eGon2035,69946,central_heat,0.0
69949 central_heat,eGon2035,69949,central_heat,0.0
69950 central_heat,eGon2035,69950,central_heat,0.0
69951 central_heat,eGon2035,69951,central_heat,0.0
69952 central_heat,eGon2035,69952,central_heat,0.0
69953 central_heat,eGon2035,69953,central_heat,0.0
69954 central_heat,eGon2035,69954,central_heat,0.0
69956 central_heat,eGon2035,69956,central_heat,0.0
69957 central_heat,eGon2035,69957,central_heat,0.0
69958 central_heat,eGon2035,69958,central_heat,0.0
69959 central_heat,eGon2035,69959,central_heat,0.0
69960 central_heat,eGon2035,69960,central_heat,0.0
69961 central_heat,eGon2035,69961,central_heat,0.0
69963 central_heat,eGon2035,69963,central_heat,0.0
