name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,marginal_cost_quadratic,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down
0,eGon2035,0,41604,dsm,15.739128741807523,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,15.739128741807523,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
1,eGon2035,0,48807,power_to_H2,0.0,True,inf,1372.6909325666213,0.0,,0.6999999999999998,0.0,0.0,0.0,0.01089371785100975,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,,
2,eGon2035,0,52027,rural_heat_pump,167.23995825197423,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,167.23995825197423,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
3,eGon2035,0,70458,BEV charger,300.6095524430275,False,inf,0.0,0.0,,0.9,0.0,0.0,0.0,300.6095524430275,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
4,eGon2035,0,74121,power_to_H2,0.0,True,2.0,1372.6909325666215,0.0,,0.7,0.0,0.0,0.0,1.9996628082152312,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,,
5,eGon2035,0,74126,power_to_H2,0.0,True,5.0,1372.6909325666215,0.0,,0.7,0.0,0.0,0.0,0.12598293073456815,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,,
6,eGon2035,0,74477,central_heat_pump,0.3936628842828863,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.3936628842828863,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
7,eGon2035,0,74477,central_resistive_heater,0.14407402130071412,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.14407402130071412,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
8,eGon2035,0,74495,central_resistive_heater,0.019685606663166665,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.019685606663166665,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
9,eGon2035,1,36308,dsm,55.05473186689267,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,55.05473186689267,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
10,eGon2035,1,50572,central_resistive_heater,0.006801176287874795,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.006801176287874795,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
11,eGon2035,1,52032,rural_heat_pump,446.7283559398059,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,446.7283559398059,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
12,eGon2035,1,70714,BEV charger,786.2060315608978,False,inf,0.0,0.0,,0.9,0.0,0.0,0.0,786.2060315608978,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
13,eGon2035,1,74287,central_heat_pump,0.11992612860111652,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.11992612860111652,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
14,eGon2035,1,74287,central_resistive_heater,0.12496219824062944,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.12496219824062944,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
15,eGon2035,1,74290,central_heat_pump,1.6018152366805536,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1.6018152366805536,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
16,eGon2035,1,74290,central_resistive_heater,0.48848474194860414,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.48848474194860414,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
17,eGon2035,1,74291,central_heat_pump,2.3381350662635496,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,2.3381350662635496,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
18,eGon2035,1,74291,central_resistive_heater,0.40496961310175233,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.40496961310175233,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
19,eGon2035,1,74297,central_heat_pump,0.6519907647998139,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.6519907647998139,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
20,eGon2035,1,74297,central_resistive_heater,0.19744922647646562,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.19744922647646562,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
21,eGon2035,1,74305,central_heat_pump,1.0131248210719417,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1.0131248210719417,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
22,eGon2035,1,74305,central_resistive_heater,0.24877674919398338,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.24877674919398338,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
23,eGon2035,1,74307,central_heat_pump,0.0781545922085251,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.0781545922085251,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
24,eGon2035,1,74307,central_resistive_heater,0.03345984166791358,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.03345984166791358,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
25,eGon2035,10,43534,dsm,113.69581966732396,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,113.69581966732396,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
26,eGon2035,10,49807,central_resistive_heater,0.14594966935844236,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.14594966935844236,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
27,eGon2035,10,49887,central_heat_pump,2.3876295405082346,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,2.3876295405082346,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
28,eGon2035,10,49887,central_resistive_heater,3.0823190560579423,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,3.0823190560579423,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
29,eGon2035,10,49894,central_heat_pump,3.5380800684931772,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,3.5380800684931772,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
30,eGon2035,10,49894,central_resistive_heater,4.516366540071676,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,4.516366540071676,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
31,eGon2035,10,49934,central_heat_pump,0.9606688920098518,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.9606688920098518,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
