snapshot,converged,error,n_iter
2011-01-01 00:00:00,True,2.18180904454357e-08,4
2011-01-01 10:00:00,True,2.7300049332268372e-08,4
2011-01-01 20:00:00,True,1.716408633001265e-07,3
2011-01-02 06:00:00,True,2.856842797882564e-07,3
2011-01-02 16:00:00,True,2.197624553446076e-07,3
2011-01-03 02:00:00,True,4.914285511858907e-08,4
2011-01-03 12:00:00,True,3.6932622293761597e-08,4
2011-01-03 22:00:00,True,1.3541487930979201e-08,4
2011-01-04 08:00:00,True,2.5953170279535698e-08,3
2011-01-04 18:00:00,True,3.0754335966776125e-08,3
2011-01-05 04:00:00,True,2.5373805861983456e-08,3
2011-01-05 14:00:00,True,3.312453600301524e-08,4
2011-01-06 00:00:00,True,6.01010015088832e-08,3
2011-01-06 10:00:00,True,3.9811175245318964e-08,4
2011-01-06 20:00:00,False,2.7472222170613087e+36,100
2011-01-07 06:00:00,True,4.6420467469943105e-08,4
2011-01-07 16:00:00,True,2.3516980363069706e-08,4
2011-01-08 02:00:00,True,8.334018275490962e-08,3
2011-01-08 12:00:00,True,5.331435204425361e-08,3
2011-01-08 22:00:00,True,1.794724147075044e-08,4
2011-01-09 08:00:00,True,3.644193125040829e-08,4
2011-01-09 18:00:00,True,4.806314564120839e-07,3
2011-01-10 04:00:00,True,2.9777023957677784e-08,4
2011-01-10 14:00:00,True,4.2782690279352664e-08,4
2011-01-11 00:00:00,True,3.147431471006712e-08,3
2011-01-11 10:00:00,True,5.865199455001857e-07,3
2011-01-11 20:00:00,True,1.969649909838722e-08,4
2011-01-12 06:00:00,True,9.824668723013019e-08,3
2011-01-12 16:00:00,True,2.6157418897554408e-08,4
2011-01-13 02:00:00,True,4.5365140977082774e-08,3
2011-01-13 12:00:00,True,1.5982079659693227e-08,5
2011-01-13 22:00:00,True,3.0095094416537904e-08,3
2011-01-14 08:00:00,True,4.923720742233684e-08,4
2011-01-14 18:00:00,True,4.6515310714312363e-08,3
2011-01-15 04:00:00,True,1.9289153385670943e-08,4
2011-01-15 14:00:00,True,1.1615998118941206e-07,3
2011-01-16 00:00:00,True,2.507428007447743e-07,3
2011-01-16 10:00:00,True,4.787994978272536e-08,4
2011-01-16 20:00:00,True,3.4061787168582214e-08,4
2011-01-17 06:00:00,False,1.937808852157176e+36,100
2011-01-17 16:00:00,False,6.694643114619539e+39,100
2011-01-18 02:00:00,False,8.18174164272961e+38,100
2011-01-18 12:00:00,False,4.956288265532563e+34,100
2011-01-18 22:00:00,True,3.8401042345981296e-08,4
2011-01-19 08:00:00,True,2.28123795409374e-08,4
2011-01-19 18:00:00,True,2.9526873390750552e-08,4
2011-01-20 04:00:00,True,3.7491172832915254e-08,4
2011-01-20 14:00:00,False,1.043047976128511e+28,100
2011-01-21 00:00:00,False,6.891088110721957e+35,100
2011-01-21 10:00:00,False,7.931350824750468e+38,100
