name,scn_name,bus,type,carrier,p_nom,p_nom_extendable,p_max_pu,marginal_cost,build_year,efficiency,min_up_time,min_down_time,up_time_before,down_time_before,e_nom_max,control,weight,p_nom_opt
0 biomass,eGon2035,0,,biomass,111.03634450638015,False,0.9999999999999998,42.1081111816994,0,0.9999999999999998,0,0,0,0,inf,Slack,111.03634450638015,111.03634450638015
0 central_biomass_CHP,eGon2035,0,,central_biomass_CHP,111.18055693067075,False,1.0,42.10930317394772,0,1.0,0,0,0,0,inf,PV,111.18055693067075,111.18055693067075
0 industrial_biomass_CHP,eGon2035,0,,industrial_biomass_CHP,541.5227155860914,False,1.0,42.108347623305875,0,1.0,0,0,0,0,inf,PV,541.5227155860914,541.5227155860914
0 load shedding,,0,,load shedding,81320320.0,False,1.0,10000.008064426835,0,1.0,0,0,1,0,0.0,PQ,81320320.0,81320320.0
0 oil,eGon2035,0,,oil,137.0,False,1.0,101.84117907643947,0,1.0,0,0,0,0,inf,PV,137.0,137.0
0 reservoir,eGon2035,0,,reservoir,1.9484952659304078,False,0.65,0.005169638116095879,0,1.0,0,0,0,0,inf,PV,1.9484952659304078,1.9484952659304078
0 run_of_river,eGon2035,0,,run_of_river,93.08543274859333,False,0.6500000000000001,0.007063260949359872,0,1.0,0,0,0,0,inf,PV,93.08543274859333,93.08543274859333
0 solar,eGon2035,0,,solar,4704.595570914344,False,1.0,0.018301186926021822,0,1.0,0,0,0,0,inf,PV,4704.595570914344,4704.595570914344
0 solar_rooftop,eGon2035,0,,solar_rooftop,6934.055377469914,False,1.0,0.01804374239336692,0,1.0,0,0,0,0,inf,PV,6934.055377469914,6934.055377469914
0 wind_onshore,eGon2035,0,,wind_onshore,10669.730345285483,False,0.9999999999999999,1.3083142559428858,0,0.9999999999999999,0,0,0,0,inf,PV,10669.730345285483,10669.730345285483
1 biomass,eGon2035,1,,biomass,233.702077627811,False,1.0,42.10788678232429,0,1.0,0,0,0,0,inf,PV,233.702077627811,233.702077627811
1 central_biomass_CHP,eGon2035,1,,central_biomass_CHP,271.35102569558484,False,1.0,42.10693186846325,0,1.0,0,0,0,0,inf,PV,271.35102569558484,271.35102569558484
1 industrial_biomass_CHP,eGon2035,1,,industrial_biomass_CHP,1031.0253726639348,False,1.0,42.1079954763128,0,1.0,0,0,0,0,inf,PV,1031.0253726639348,1031.0253726639348
