name,scn_name,bus,carrier,e_nom,e_nom_extendable,e_nom_max,e_initial,e_cyclic,capital_cost,e_nom_opt
37222 dsm,eGon2035,37222,dsm,657.5559508005273,False,inf,0.0,False,0.0,657.5559508005273
41648 dsm,eGon2035,41648,dsm,384.04774637383133,False,inf,0.0,False,0.0,384.04774637383133
42100 dsm,eGon2035,42100,dsm,1462.035090018526,False,inf,0.0,False,0.0,1462.035090018526
42102 dsm,eGon2035,42102,dsm,695.9463179051404,False,inf,0.0,False,0.0,695.9463179051404
42106 dsm,eGon2035,42106,dsm,1829.4629310082262,False,inf,0.0,False,0.0,1829.4629310082262
43534 dsm,eGon2035,43534,dsm,1128.8923496931072,False,inf,0.0,False,0.0,1128.8923496931072
48623 CH4,eGon2035,48623,CH4,103258761.6825082,False,inf,0.0,True,0.0,103258761.6825082
48624 CH4,eGon2035,48624,CH4,7796579.6970679015,False,inf,0.0,True,0.0,7796579.6970679015
48626 CH4,eGon2035,48626,CH4,16558557.363773989,False,inf,0.0,True,0.0,16558557.363773989
48627 CH4,eGon2035,48627,CH4,4467164.898,False,inf,0.0,True,0.0,4467164.898
48628 CH4,eGon2035,48628,CH4,110961282.95347735,False,inf,0.0,True,0.0,110961282.95347735
48629 CH4,eGon2035,48629,CH4,45093072.66459372,False,inf,0.0,True,0.0,45093072.66459372
48631 CH4,eGon2035,48631,CH4,98781272.36350779,False,inf,0.0,True,0.0,98781272.36350779
48633 CH4,eGon2035,48633,CH4,40085545.400267825,False,inf,0.0,True,0.0,40085545.400267825
48634 CH4,eGon2035,48634,CH4,3268835.936014453,False,inf,0.0,True,0.0,3268835.936014453
48637 H2_underground,eGon2035,48637,H2_underground,0.0,True,893790.4811847123,0.0,True,0.4831259814884624,0.00014133324665219563
48679 H2_underground,eGon2035,48679,H2_underground,0.0,True,6420076.956435721,0.0,True,0.4831259814884624,0.00016357953570989361
48681 H2_underground,eGon2035,48681,H2_underground,0.0,True,486881.1182446857,0.0,True,0.4831259814884624,0.00013280033345938053
48701 H2_underground,eGon2035,48701,H2_underground,0.0,True,316006.6008583623,0.0,True,0.48312598148846236,0.00013326345584918978
63912 central_heat_store,eGon2035,63912,central_heat_store,0.0,True,inf,0.0,False,0.20216590572931173,0.00016908024150781228
64685 central_heat_store,eGon2035,64685,central_heat_store,0.0,True,inf,0.0,False,0.20216590572931173,0.0001696105697548897
64759 central_heat_store,eGon2035,64759,central_heat_store,0.0,True,inf,0.0,False,0.20216590572931173,0.00016960692780103315
65006 central_heat_store,eGon2035,65006,central_heat_store,0.0,True,inf,0.0,False,0.20216590572931173,0.0002580107871359774
65748 central_heat_store,eGon2035,65748,central_heat_store,0.0,True,inf,0.0,False,0.20216590572931173,0.00016849095184344812
66048 rural_heat_store,eGon2035,66048,rural_heat_store,0.0,True,inf,0.0,False,8.081417822273457,2.505348379668211e-05
66050 rural_heat_store,eGon2035,66050,rural_heat_store,0.0,True,inf,0.0,False,8.081417822273457,2.4108448094833056e-05
66052 rural_heat_store,eGon2035,66052,rural_heat_store,0.0,True,inf,0.0,False,8.081417822273457,3.65443643562521e-05
66053 rural_heat_store,eGon2035,66053,rural_heat_store,0.0,True,inf,0.0,False,8.081417822273457,3.109126538216461e-05
66055 rural_heat_store,eGon2035,66055,rural_heat_store,0.0,True,inf,0.0,False,8.081417822273457,2.8024390353286778e-05
66063 rural_heat_store,eGon2035,66063,rural_heat_store,0.0,True,inf,0.0,False,8.081417822273457,2.288145541745612e-05
69893 battery storage,eGon2035,69893,battery storage,70606.58,False,inf,55625.08821369067,False,0.0,70606.58
69895 battery storage,eGon2035,69895,battery storage,115409.942,False,inf,90787.56410078255,False,0.0,115409.942
69898 battery storage,eGon2035,69898,battery storage,159165.974,False,inf,125475.0089749557,False,0.0,159165.974
69900 battery storage,eGon2035,69900,battery storage,254757.316,False,inf,201211.34174668053,False,0.0,254757.316
69906 battery storage,eGon2035,69906,battery storage,87801.556,False,inf,68944.29057503899,False,0.0,87801.556
69909 battery storage,eGon2035,69909,battery storage,227704.794,False,inf,179362.7799495636,False,0.0,227704.794
81398 CH4,eGon2035,81398,CH4,6280391.847306572,False,inf,0.0,True,0.0,6280391.847306572
81399 CH4,eGon2035,81399,CH4,15565212.068123307,False,inf,0.0,True,0.0,15565212.068123307
81400 CH4,eGon2035,81400,CH4,132677413.19396156,False,inf,0.0,True,0.0,132677413.19396156
81401 CH4,eGon2035,81401,CH4,77365956.36492357,False,inf,0.0,True,0.0,77365956.36492357
81402 CH4,eGon2035,81402,CH4,29910050.06984601,False,inf,0.0,True,0.0,29910050.06984601
81403 CH4,eGon2035,81403,CH4,37191337.46720524,False,inf,0.0,True,0.0,37191337.46720524
81404 CH4,eGon2035,81404,CH4,4458266.868537888,False,inf,0.0,True,0.0,4458266.868537888
81418 H2_overground,eGon2035,81418,H2_overground,0.0,True,inf,0.0,True,12.824934981853977,27354.336855613772
81419 H2_overground,eGon2035,81419,H2_overground,0.0,True,inf,0.0,True,12.824934981853977,8631.026590915279
81420 H2_overground,eGon2035,81420,H2_overground,0.0,True,inf,0.0,True,12.824934981853977,16732.200813787425
81421 H2_overground,eGon2035,81421,H2_overground,0.0,True,inf,0.0,True,12.824934981853977,306.3063510010706
81422 H2_overground,eGon2035,81422,H2_overground,0.0,True,inf,0.0,True,12.824934981853977,12055.862682434168
81423 H2_overground,eGon2035,81423,H2_overground,0.0,True,inf,0.0,True,12.824934981853977,278.59579103522924
81424 H2_overground,eGon2035,81424,H2_overground,0.0,True,inf,0.0,True,12.824934981853977,1718.634965651103
81452 central_heat_store,eGon2035,81452,central_heat_store,0.0,True,inf,0.0,False,0.20216590572931173,6575.085114253635
81453 central_heat_store,eGon2035,81453,central_heat_store,0.0,True,inf,0.0,False,0.20216590572931173,0.00016831954362233129
81454 central_heat_store,eGon2035,81454,central_heat_store,0.0,True,inf,0.0,False,0.20216590572931173,0.00016806374239911395
81455 central_heat_store,eGon2035,81455,central_heat_store,0.0,True,inf,0.0,False,0.20216590572931173,0.0001683484601711742
81456 central_heat_store,eGon2035,81456,central_heat_store,0.0,True,inf,0.0,False,0.20216590572931173,0.00016880586828650623
81457 central_heat_store,eGon2035,81457,central_heat_store,0.0,True,inf,0.0,False,0.2021659057293117,0.00016887774244569304
81458 central_heat_store,eGon2035,81458,central_heat_store,0.0,True,inf,0.0,False,0.20216590572931173,0.00017001419970273657
