name,bus0,bus1,carrier,x,r,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,lifetime,capital_cost,length,num_parallel,geom,v_nom,x_pu_eff,r_pu_eff,s_nom_opt,country
0,0,2,AC,13.190098879983168,1.676247345905659,0.0005384172173630217,11840.0,True,11840.0,37029.860625176545,1.0,40.0,193.96823060034416,263.0154499916478,22.0,,380.0,9.134417506913551e-05,1.1608361121230326e-05,18762.817533969624,DE
1,0,3,AC,6.643710427383943,0.7568240015134046,0.005808071020168406,17670.0,True,17670.0,58371.497855717214,1.0,40.0,404.09212063543356,246.92147415455256,15.0,,380.0,4.6009074981883264e-05,5.241163445383688e-06,22252.114250068487,DE
10,1,5,AC,5.239509851657487,0.638390621588785,0.004617071712919433,20270.0,True,20270.0,77027.7635142031,1.0,40.0,266.9491067002896,216.8403264512852,18.0,,380.0,3.6284694263556e-05,4.42098768413286e-06,20270.000000001935,DE
11,2,4,AC,4.423386326174941,0.5093563584921241,0.005095162045055964,20500.0,True,20500.0,79854.4704321555,1.0,39.99999999999999,299.5059745916518,185.63318420711815,16.0,,380.0,3.0632869294840315e-05,3.527398604516095e-06,20500.0000000156,DE
12,2,43773,AC,18.34605163717775,2.061369956200708,0.0026032283119255977,7420.0,True,7420.0,26101.48628821915,1.0,40.0,331.96494400276083,295.34732495268076,5.0,,380.0,0.00012705021909402875,1.4275415209146177e-05,8892.770544538698,PL
13,3,4,AC,15.7222973569353,1.9585468643793849,0.003330126832396022,9240.0,True,9240.0,30811.105405681246,1.0,40.0,413.5365278074369,298.6591413055987,9.0,,380.0,0.00010888017560204502,1.3563343936145325e-05,9240.00000000217,DE
14,3,43771,AC,10.013067414798027,1.115540335340793,9.839245044219435e-07,7160.0,True,7160.0,21482.972576438297,1.0,40.0,9.955982195801777,159.179106149524,4.0,,380.0,6.934257212464008e-05,7.725348582692474e-06,17029.42181556648,NL
15,4,43764,AC,36.476516049396544,4.063793994497282,0.00014789263959680933,3580.0,True,3580.0,14320.0,1.0,40.0,162.70966904598248,291.0492872395062,2.0,,380.0,0.000252607451865627,2.8142617690424392e-05,3580.0000000032337,CZ
16,4,5,AC,11.282089099936046,1.388280039765836,0.001974351439917487,12330.0,True,12330.0,37029.86062517654,1.0,40.0,333.49481797253065,265.6656367051389,14.0,,380.0,7.813081094138536e-05,9.61412769920939e-06,12330.00000000163,DE
17,43761,43763,AC,24.72110883745015,3.0147693704207494,0.006970786497496677,6792.41044696211,True,6792.41044696211,27169.64178784844,0.7,40.0,874.3300351452368,401.96924938943334,4.0,,380.0,0.0001711988146637822,2.087790422729051e-05,6792.410446962903,ATCH
18,43761,43764,AC,23.388620832508927,2.852270833232796,0.0029392608451278613,4534.545478442849,True,4534.545478442849,18138.181913771397,0.7,40.0,552.1465341147958,253.88634194242064,2.6703601108033244,,380.0,0.0001619710583968762,1.9752568097180026e-05,4534.545478445053,ATCZ
19,43761,5,AC,8.431558971910814,1.8921683718224076,0.001501139678954058,12230.0,True,12230.0,47869.37760974765,1.0,40.0,53.914911657757116,166.88762594502504,25.0,,380.0,5.8390297589410066e-05,1.3103659084642712e-05,12230.000000016425,AT
2,0,4,AC,83.02229326165902,26.744983062340935,0.00016405503992485856,2600.0,True,2600.0,12437.510438990594,1.0,40.0,177.54729465126627,287.8667168279358,8.0,,380.0,0.0005749466292358658,0.0001852145641436353,3283.2955933598696,DE
20,43762,43767,AC,16.73343469610499,2.0406627678176816,0.013121319378232825,11326.955925404958,True,11326.955925404958,45307.82370161983,0.7,40.0,986.5779905275681,453.73185086841903,6.670360110803324,,380.0,0.00011588251174587942,1.4132013627546272e-05,19310.182270207086,BEFR
21,43762,43770,AC,55.6863589569283,6.791019384991257,0.0004410207288890439,1138.340254961794,True,1138.340254961794,4553.361019847176,0.7,40.0,330.013098999806,151.7476169130087,0.6703601108033241,,380.0,0.0003856396049648774,4.702922011766798e-05,3393.296409175729,BELU
22,43762,43771,AC,11.604163221360361,1.4151418562634586,0.0032721082549365824,6792.41044696211,True,6792.41044696211,27169.64178784844,0.7,40.0,410.4171521298994,188.68558083512778,4.0,,380.0,8.036124114515485e-05,9.800151359165225e-06,11673.429000008118,BENL
23,43763,43767,AC,11.804084341879111,1.4395224807169649,0.01335083194961321,13603.636435328544,True,13603.636435328544,54414.54574131418,0.7,40.0,836.1813394623613,384.404341111123,8.011080332409971,,380.0,8.174573643960603e-05,9.968992248732443e-06,18583.26767968319,CHFR
24,43764,43773,AC,27.198592381393265,3.3169015099260077,0.003418062065382866,4534.545478442849,True,4534.545478442849,18138.181913771397,0.7,40.0,642.1912708364891,295.2440494523243,2.6703601108033244,,380.0,0.00018835590291823591,2.29702320631995e-05,5099.020853720001,CZPL
