name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,marginal_cost_quadratic,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down
0,eGon2035,0,42102,dsm,656.9222418516729,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,656.9222418516729,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
1,eGon2035,0,43774,DC,600.0,True,2400.0,18091.163558016484,981.7005014746182,,1.0,600.0,-1.0,0.0,600.0000000000234,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
3,eGon2035,0,51511,central_resistive_heater,2.1741175004075255,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,2.1741175004075255,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
4,eGon2035,0,51723,central_resistive_heater,0.004868991462451051,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.004868991462451051,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
5,eGon2035,0,52027,rural_heat_pump,4782.500577713695,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,4782.500577713695,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
6,eGon2035,0,69895,BEV charger,8684.902379482985,False,inf,0.0,0.0,,0.9000000000000001,0.0,0.0,0.0,8684.902379482985,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
11,eGon2035,0,81446,central_heat_pump,91.80744324704666,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,91.80744324704666,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
12,eGon2035,0,81446,central_resistive_heater,102.61604796318464,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,102.61604796318464,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
13,eGon2035,0,81447,central_heat_pump,36.28066364542924,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,36.28066364542924,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
14,eGon2035,0,81447,central_resistive_heater,41.89871108249189,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,41.89871108249189,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
15,eGon2035,0,81449,central_resistive_heater,0.0786376981618101,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.0786376981618101,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
16,eGon2035,0,81452,central_heat_pump,2.687872181719014,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,2.687872181719014,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
17,eGon2035,0,81452,central_resistive_heater,3.149819106608944,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,3.149819106608944,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
18,eGon2035,1,42106,dsm,1577.0301247214545,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1577.0301247214545,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
19,eGon2035,1,49738,central_heat_pump,0.5832617004557796,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.5832617004557796,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
20,eGon2035,1,49738,central_resistive_heater,0.7697231530914688,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.7697231530914688,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
21,eGon2035,1,49887,central_heat_pump,2.3876295405082346,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,2.3876295405082346,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
22,eGon2035,1,49887,central_resistive_heater,3.0823190560579423,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,3.0823190560579423,,0.0,,0.0,0.0,1.0,0.0,,,,,,,
