name,scn_name,bus,carrier,e_nom,e_nom_extendable,e_nom_max,e_initial,e_cyclic,capital_cost,e_nom_opt
37222 dsm,eGon2035,37222,dsm,653.6524447315003,False,inf,0.0,False,0.0,653.6524447315003
41648 dsm,eGon2035,41648,dsm,497.07617597946575,False,inf,0.0,False,0.0,497.07617597946575
42100 dsm,eGon2035,42100,dsm,1369.46969991229,False,inf,0.0,False,0.0,1369.46969991229
42102 dsm,eGon2035,42102,dsm,732.2817456409778,False,inf,0.0,False,0.0,732.2817456409778
42106 dsm,eGon2035,42106,dsm,1815.089261784212,False,inf,0.0,False,0.0,1815.089261784212
43534 dsm,eGon2035,43534,dsm,1090.3710577509125,False,inf,0.0,False,0.0,1090.3710577509125
48623 CH4,eGon2035,48623,CH4,103258761.6825082,False,inf,0.0,True,0.0,103258761.6825082
48624 CH4,eGon2035,48624,CH4,7796579.6970679015,False,inf,0.0,True,0.0,7796579.6970679015
48626 CH4,eGon2035,48626,CH4,16558557.363773989,False,inf,0.0,True,0.0,16558557.363773989
48627 CH4,eGon2035,48627,CH4,4467164.898,False,inf,0.0,True,0.0,4467164.898
48628 CH4,eGon2035,48628,CH4,110961282.95347735,False,inf,0.0,True,0.0,110961282.95347735
48629 CH4,eGon2035,48629,CH4,45093072.66459372,False,inf,0.0,True,0.0,45093072.66459372
48631 CH4,eGon2035,48631,CH4,98781272.36350779,False,inf,0.0,True,0.0,98781272.36350779
48633 CH4,eGon2035,48633,CH4,40085545.400267825,False,inf,0.0,True,0.0,40085545.400267825
48634 CH4,eGon2035,48634,CH4,3268835.936014453,False,inf,0.0,True,0.0,3268835.936014453
48637 H2_underground,eGon2035,48637,H2_underground,0.0,True,775981.5791557158,0.0,True,5.032562307171483,4.9483235427146e-06
48679 H2_underground,eGon2035,48679,H2_underground,0.0,True,6537885.858464719,0.0,True,5.032562307171483,4.99797330176608e-06
48681 H2_underground,eGon2035,48681,H2_underground,0.0,True,479786.03371372767,0.0,True,5.032562307171483,4.943407787610411e-06
48701 H2_underground,eGon2035,48701,H2_underground,0.0,True,323101.68538932025,0.0,True,5.032562307171483,4.942596423447489e-06
63763 central_heat_store,eGon2035,63763,central_heat_store,0.0,True,inf,0.0,False,2.105894851346997,9.380428719232476
63912 central_heat_store,eGon2035,63912,central_heat_store,0.0,True,inf,0.0,False,2.105894851346997,7.166749756620794e-06
64685 central_heat_store,eGon2035,64685,central_heat_store,0.0,True,inf,0.0,False,2.105894851346997,7.184560566361048e-06
64932 central_heat_store,eGon2035,64932,central_heat_store,0.0,True,inf,0.0,False,2.105894851346997,304.29352913737534
