name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,marginal_cost_quadratic,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down
0,eGon2035,0,43540,dsm,96.30863447530109,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,96.30863447530109,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
1,eGon2035,0,49990,central_resistive_heater,0.008769369689558522,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.008769369689558522,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
2,eGon2035,0,50120,central_resistive_heater,0.03434996459308417,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.03434996459308417,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
3,eGon2035,0,52075,rural_heat_pump,557.8791612256451,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,557.8791612256451,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
4,eGon2035,0,70456,BEV_charger,1062.9454309642315,False,inf,0.0,0.0,,0.9,0.0,0.0,0.0,1062.9454309642315,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
5,eGon2035,0,74838,power_to_H2,0.0,True,inf,24049.54513856721,0.0,,0.6999999999999998,0.0,0.0,0.0,11.233258972365741,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,,
6,eGon2035,0,74855,power_to_H2,0.0,True,1.0,24049.54513856721,0.0,,0.7,0.0,0.0,0.0,0.9993311676974359,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,,
7,eGon2035,0,74871,power_to_H2,0.0,True,2.0,24049.54513856721,0.0,,0.7,0.0,0.0,0.0,1.99998815589845,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,,
8,eGon2035,0,74897,power_to_H2,0.0,True,inf,24049.54513856721,0.0,,0.6999999999999998,0.0,0.0,0.0,161.0982097996517,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,,
9,eGon2035,0,74952,central_heat_pump,9.83985775415222,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,9.83985775415222,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
