name,scn_name,bus,carrier,p_nom,p_max_pu,marginal_cost,efficiency,up_time_before,e_nom_max,control,weight,p_nom_opt
0 biomass,eGon2035,0,biomass,0.23862851601221202,1.0,42.108267819838275,1.0,0,inf,Slack,0.23862851601221202,0.23862851601221202
0 central_biomass_CHP,eGon2035,0,central_biomass_CHP,16.528365533069852,1.0000000000000002,42.10881496437461,1.0000000000000002,0,inf,PV,16.528365533069852,16.528365533069852
0 industrial_biomass_CHP,eGon2035,0,industrial_biomass_CHP,6.941028296778583,1.0,42.105905895158486,1.0,0,inf,PV,6.941028296778583,6.941028296778583
0 load shedding,,0,load shedding,21708517.77677843,1.0000000000000002,10000.008687660444,1.0000000000000002,1,0.0,PQ,21708517.77677843,21708517.77677843
0 others,eGon2035,0,others,69.37150572844294,1.0,0.005597326648488052,1.0,0,inf,PV,69.37150572844294,69.37150572844294
0 run_of_river,eGon2035,0,run_of_river,201.88771362487708,0.6499999999999999,0.006769208805476331,0.9999999999999997,0,inf,PV,201.88771362487708,201.88771362487708
0 solar,eGon2035,0,solar,117.48848869758382,0.9999999999999999,0.01771202430877375,0.9999999999999999,0,inf,PV,117.48848869758382,117.48848869758382
0 solar_rooftop,eGon2035,0,solar_rooftop,1663.7038954498996,1.0,0.018191736058425417,1.0,0,inf,PV,1663.7038954498996,1663.7038954498996
0 wind_onshore,eGon2035,0,wind_onshore,686.3908388355795,1.0,1.3054518222414992,1.0,0,inf,PV,686.3908388355795,686.3908388355795
1 biomass,eGon2035,1,biomass,5.224461890445956,1.0,42.10915967567082,1.0,0,inf,PV,5.224461890445956,5.224461890445956
1 central_biomass_CHP,eGon2035,1,central_biomass_CHP,9.425760438729066,0.9999999999999999,42.11095973536578,0.9999999999999999,0,inf,PV,9.425760438729066,9.425760438729066
1 industrial_biomass_CHP,eGon2035,1,industrial_biomass_CHP,230.810347088574,0.9999999999999999,42.11044397572497,0.9999999999999999,0,inf,PV,230.810347088574,230.810347088574
1 load shedding,,1,load shedding,9736908.70870209,0.9999999999999997,10000.007238116466,0.9999999999999997,1,0.0,PQ,9736908.70870209,9736908.70870209
1 solar,eGon2035,1,solar,734.2790156945665,1.0,0.016231147117119336,1.0,0,inf,PV,734.2790156945665,734.2790156945665
1 solar_rooftop,eGon2035,1,solar_rooftop,299.49120937527977,1.0,0.018552841893281154,1.0,0,inf,PV,299.49120937527977,299.49120937527977
1 wind_onshore,eGon2035,1,wind_onshore,1517.3955908213297,1.0,1.3069195179163404,1.0,0,inf,PV,1517.3955908213297,1517.3955908213297
10 biomass,eGon2035,10,biomass,10.423077315050834,1.0,42.11031300156964,1.0,0,inf,PV,10.423077315050834,10.423077315050834
10 central_biomass_CHP,eGon2035,10,central_biomass_CHP,10.329216965848753,0.9999999999999999,42.111853121962675,0.9999999999999999,0,inf,PV,10.329216965848753,10.329216965848753
10 industrial_biomass_CHP,eGon2035,10,industrial_biomass_CHP,83.76473004190703,1.0,42.10798038156665,1.0,0,inf,PV,83.76473004190703,83.76473004190703
10 load shedding,,10,load shedding,11811987.613835322,1.0,10000.00866923397,1.0,1,0.0,PQ,11811987.613835322,11811987.613835322
10 others,eGon2035,10,others,10.999376563927816,1.0,0.001042086367929629,1.0,0,inf,PV,10.999376563927816,10.999376563927816
10 reservoir,eGon2035,10,reservoir,9.801480059535846,0.6499999999999999,0.0068869878547507925,0.9999999999999999,0,inf,PV,9.801480059535846,9.801480059535846
10 run_of_river,eGon2035,10,run_of_river,582.8383143669096,0.65,0.007632495025830915,1.0,0,inf,PV,582.8383143669096,582.8383143669096
10 solar,eGon2035,10,solar,638.6988720514546,1.0,0.018410573136156023,1.0,0,inf,PV,638.6988720514546,638.6988720514546
10 solar_rooftop,eGon2035,10,solar_rooftop,919.655773504958,1.0,0.01722761728780062,1.0,0,inf,PV,919.655773504958,919.655773504958
10 wind_onshore,eGon2035,10,wind_onshore,89.95017143783959,0.9999999999999999,1.3104848922020655,0.9999999999999999,0,inf,PV,89.95017143783959,89.95017143783959
11 biomass,eGon2035,11,biomass,29.284444776701353,1.0,42.10774761395232,1.0,0,inf,PV,29.284444776701353,29.284444776701353
11 central_biomass_CHP,eGon2035,11,central_biomass_CHP,21.1739854827956,1.0,42.1091728642388,1.0,0,inf,PV,21.1739854827956,21.1739854827956
11 industrial_biomass_CHP,eGon2035,11,industrial_biomass_CHP,461.46637093316826,1.0,42.10701378058857,1.0,0,inf,PV,461.46637093316826,461.46637093316826
11 load shedding,,11,load shedding,35914827.20422902,1.0000000000000002,10000.00772422982,1.0000000000000002,1,0.0,PQ,35914827.20422902,35914827.20422902
11 others,eGon2035,11,others,6.178338296598432,1.0,0.003831353251240264,1.0,0,inf,PV,6.178338296598432,6.178338296598432
11 run_of_river,eGon2035,11,run_of_river,165.15239316362542,0.65,0.0066522889666938215,1.0,0,inf,PV,165.15239316362542,165.15239316362542
11 solar,eGon2035,11,solar,621.8988081123487,0.9999999999999999,0.01802067048997664,0.9999999999999999,0,inf,PV,621.8988081123487,621.8988081123487
11 solar_rooftop,eGon2035,11,solar_rooftop,2048.1240256830224,1.0,0.01759165181694544,1.0,0,inf,PV,2048.1240256830224,2048.1240256830224
11 wind_onshore,eGon2035,11,wind_onshore,997.252990681141,1.0,1.3092078715556479,1.0,0,inf,PV,997.252990681141,997.252990681141
12 biomass,eGon2035,12,biomass,0.5439136874247699,1.0,42.10954939156773,1.0,0,inf,PV,0.5439136874247699,0.5439136874247699
12 central_biomass_CHP,eGon2035,12,central_biomass_CHP,0.5439136874247699,1.0,42.10085980557082,1.0,0,inf,PV,0.5439136874247699,0.5439136874247699
12 industrial_biomass_CHP,eGon2035,12,industrial_biomass_CHP,1.3456424626888808,1.0,42.10843570874207,1.0,0,inf,PV,1.3456424626888808,1.3456424626888808
12 load shedding,,12,load shedding,20910410.50557334,1.0,10000.007682763387,1.0,1,0.0,PQ,20910410.50557334,20910410.50557334
12 others,eGon2035,12,others,100.00000000000001,1.0,0.012838048545908714,1.0,0,inf,PV,100.00000000000001,100.00000000000001
12 run_of_river,eGon2035,12,run_of_river,21.63840530167,0.65,0.0017832632349602856,1.0,0,inf,PV,21.63840530167,21.63840530167
12 solar,eGon2035,12,solar,336.2661465706605,1.0,0.01640936318532338,1.0,0,inf,PV,336.2661465706605,336.2661465706605
12 solar_rooftop,eGon2035,12,solar_rooftop,1113.5376051634773,0.9999999999999999,0.017538099800431643,0.9999999999999999,0,inf,PV,1113.5376051634773,1113.5376051634773
12 wind_onshore,eGon2035,12,wind_onshore,448.77212920359415,1.0,1.3098535409426693,1.0,0,inf,PV,448.77212920359415,448.77212920359415
13 biomass,eGon2035,13,biomass,7.498155744262987,1.0,42.10985767862003,1.0,0,inf,PV,7.498155744262987,7.498155744262987
13 central_biomass_CHP,eGon2035,13,central_biomass_CHP,14.473271899328015,1.0,42.10723146331298,1.0,0,inf,PV,14.473271899328015,14.473271899328015
13 industrial_biomass_CHP,eGon2035,13,industrial_biomass_CHP,159.04750170153557,1.0000000000000002,42.10831694498926,1.0000000000000002,0,inf,PV,159.04750170153557,159.04750170153557
13 load shedding,,13,load shedding,12769716.339281429,1.0000000000000002,10000.00747299422,1.0000000000000002,1,0.0,PQ,12769716.339281429,12769716.339281429
13 run_of_river,eGon2035,13,run_of_river,1.216839385905205,0.6500000000000001,0.006107419979928549,1.0,0,inf,PV,1.216839385905205,1.216839385905205
13 solar,eGon2035,13,solar,114.20313430230159,1.0,0.018116641339364293,1.0,0,inf,PV,114.20313430230159,114.20313430230159
13 solar_rooftop,eGon2035,13,solar_rooftop,798.0853084155033,0.9999999999999999,0.019590569837533208,0.9999999999999999,0,inf,PV,798.0853084155033,798.0853084155033
13 wind_onshore,eGon2035,13,wind_onshore,1316.293485299222,1.0,1.3084342301832361,1.0,0,inf,PV,1316.293485299222,1316.293485299222
14 biomass,eGon2035,14,biomass,5.468349730049556,1.0,42.108755517716,1.0,0,inf,PV,5.468349730049556,5.468349730049556
14 central_biomass_CHP,eGon2035,14,central_biomass_CHP,11.616706243684154,1.0,42.1106793999185,1.0,0,inf,PV,11.616706243684154,11.616706243684154
14 industrial_biomass_CHP,eGon2035,14,industrial_biomass_CHP,37.91573509260109,1.0,42.109331785861066,1.0,0,inf,PV,37.91573509260109,37.91573509260109
14 load shedding,,14,load shedding,10375394.525666162,1.0,10000.007480757291,1.0,1,0.0,PQ,10375394.525666162,10375394.525666162
14 reservoir,eGon2035,14,reservoir,0.6723680847224646,0.65,0.007036971636047748,1.0,0,inf,PV,0.6723680847224646,0.6723680847224646
14 run_of_river,eGon2035,14,run_of_river,196.64469065788435,0.65,0.006848451877455523,0.9999999999999999,0,inf,PV,196.64469065788435,196.64469065788435
14 solar,eGon2035,14,solar,557.3829275248667,0.9999999999999999,0.018190043877384432,0.9999999999999999,0,inf,PV,557.3829275248667,557.3829275248667
14 solar_rooftop,eGon2035,14,solar_rooftop,575.0665719223505,1.0000000000000002,0.01780715577751367,1.0000000000000002,0,inf,PV,575.0665719223505,575.0665719223505
14 wind_onshore,eGon2035,14,wind_onshore,157.39833726068682,1.0,1.3112884975326293,1.0,0,inf,PV,157.39833726068682,157.39833726068682
15 biomass,eGon2035,15,biomass,5.154381833319972,1.0,42.10717624143309,1.0,0,inf,PV,5.154381833319972,5.154381833319972
15 central_biomass_CHP,eGon2035,15,central_biomass_CHP,1.5348473000530662,1.0,42.10429116340349,1.0,0,inf,PV,1.5348473000530662,1.5348473000530662
15 industrial_biomass_CHP,eGon2035,15,industrial_biomass_CHP,132.70250124431126,1.0,42.1075107688683,1.0,0,inf,PV,132.70250124431126,132.70250124431126
15 load shedding,,15,load shedding,7821451.2578098755,1.0,10000.008713187815,1.0,1,0.0,PQ,7821451.2578098755,7821451.2578098755
