name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,marginal_cost_quadratic,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down
0,eGon2035,0,43540,dsm,96.30863447530109,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,96.30863447530109,,0.0,0.0,0.0,1.0,0.0,,,,,,,
1,eGon2035,0,49990,central_resistive_heater,0.008769369689558522,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.008769369689558522,,0.0,0.0,0.0,1.0,0.0,,,,,,,
2,eGon2035,0,50120,central_resistive_heater,0.03434996459308417,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.03434996459308417,,0.0,0.0,0.0,1.0,0.0,,,,,,,
3,eGon2035,0,52075,rural_heat_pump,557.8791612256451,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,557.8791612256451,,0.0,0.0,0.0,1.0,0.0,,,,,,,
4,eGon2035,0,70456,BEV_charger,1062.9454309642315,False,inf,0.0,0.0,,0.9,0.0,0.0,0.0,1062.9454309642315,,0.0,0.0,0.0,1.0,0.0,,,,,,,
9,eGon2035,0,74952,central_heat_pump,9.83985775415222,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,9.83985775415222,,0.0,0.0,0.0,1.0,0.0,,,,,,,
10,eGon2035,0,74952,central_resistive_heater,8.120558491067404,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,8.120558491067404,,0.0,0.0,0.0,1.0,0.0,,,,,,,
11,eGon2035,0,74973,central_heat_pump,5.084833920502907,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,5.084833920502907,,0.0,0.0,0.0,1.0,0.0,,,,,,,
12,eGon2035,0,74973,central_resistive_heater,7.796379757091753,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,7.796379757091753,,0.0,0.0,0.0,1.0,0.0,,,,,,,
13,eGon2035,1,41516,dsm,9.6027904827656,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,9.6027904827656,,0.0,0.0,0.0,1.0,0.0,,,,,,,
15,eGon2035,1,51709,central_heat_pump,0.19151356921488144,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.19151356921488144,,0.0,0.0,0.0,1.0,0.0,,,,,,,
16,eGon2035,1,51709,central_resistive_heater,0.03888473866259892,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.03888473866259892,,0.0,0.0,0.0,1.0,0.0,,,,,,,
17,eGon2035,1,52267,rural_heat_pump,115.79208558856357,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,115.79208558856357,,0.0,0.0,0.0,1.0,0.0,,,,,,,
18,eGon2035,1,72441,BEV_charger,204.79450464248657,False,inf,0.0,0.0,,0.9,0.0,0.0,0.0,204.79450464248657,,0.0,0.0,0.0,1.0,0.0,,,,,,,
22,eGon2035,1,75168,central_heat_pump,0.07053580536216253,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.07053580536216253,,0.0,0.0,0.0,1.0,0.0,,,,,,,
23,eGon2035,1,75168,central_resistive_heater,0.19177626877703718,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.19177626877703718,,0.0,0.0,0.0,1.0,0.0,,,,,,,
24,eGon2035,1,75174,central_heat_pump,0.20155399815679229,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.20155399815679229,,0.0,0.0,0.0,1.0,0.0,,,,,,,
25,eGon2035,1,75174,central_resistive_heater,0.4748015803672413,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.4748015803672413,,0.0,0.0,0.0,1.0,0.0,,,,,,,
26,eGon2035,10,42658,dsm,48.88969790741661,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,48.88969790741661,,0.0,0.0,0.0,1.0,0.0,,,,,,,
27,eGon2035,10,52109,rural_heat_pump,343.12041228989733,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,343.12041228989733,,0.0,0.0,0.0,1.0,0.0,,,,,,,
28,eGon2035,10,70670,BEV_charger,666.9062924385071,False,inf,0.0,0.0,,0.9,0.0,0.0,0.0,666.9062924385071,,0.0,0.0,0.0,1.0,0.0,,,,,,,
31,eGon2035,10,74930,central_heat_pump,4.771790954743677,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,4.771790954743677,,0.0,0.0,0.0,1.0,0.0,,,,,,,
32,eGon2035,10,74930,central_resistive_heater,1.8540604329388235,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1.8540604329388235,,0.0,0.0,0.0,1.0,0.0,,,,,,,
33,eGon2035,10,74956,central_heat_pump,0.07470823030118694,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.07470823030118694,,0.0,0.0,0.0,1.0,0.0,,,,,,,
34,eGon2035,10,74956,central_resistive_heater,0.033644481671745496,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.033644481671745496,,0.0,0.0,0.0,1.0,0.0,,,,,,,
35,eGon2035,10,74964,central_heat_pump,0.07862562269871987,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.07862562269871987,,0.0,0.0,0.0,1.0,0.0,,,,,,,
36,eGon2035,10,74964,central_resistive_heater,0.039535469998082114,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.039535469998082114,,0.0,0.0,0.0,1.0,0.0,,,,,,,
37,eGon2035,11,41288,dsm,98.14107244455478,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,98.14107244455478,,0.0,0.0,0.0,1.0,0.0,,,,,,,
38,eGon2035,11,49653,central_resistive_heater,0.016165397241132296,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.016165397241132296,,0.0,0.0,0.0,1.0,0.0,,,,,,,
39,eGon2035,11,49758,central_heat_pump,1.2445350416133747,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1.2445350416133747,,0.0,0.0,0.0,1.0,0.0,,,,,,,
40,eGon2035,11,49758,central_resistive_heater,1.631857533491396,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1.631857533491396,,0.0,0.0,0.0,1.0,0.0,,,,,,,
41,eGon2035,11,49783,central_heat_pump,0.8945586784617195,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.8945586784617195,,0.0,0.0,0.0,1.0,0.0,,,,,,,
42,eGon2035,11,49783,central_resistive_heater,1.1825847594632708,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1.1825847594632708,,0.0,0.0,0.0,1.0,0.0,,,,,,,
43,eGon2035,11,49900,central_heat_pump,2.469103315007904,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,2.469103315007904,,0.0,0.0,0.0,1.0,0.0,,,,,,,
44,eGon2035,11,49900,central_resistive_heater,3.1657798761265,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,3.1657798761265,,0.0,0.0,0.0,1.0,0.0,,,,,,,
45,eGon2035,11,49907,central_heat_pump,3.569604305301636,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,3.569604305301636,,0.0,0.0,0.0,1.0,0.0,,,,,,,
46,eGon2035,11,49907,central_resistive_heater,4.548659614404214,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,4.548659614404214,,0.0,0.0,0.0,1.0,0.0,,,,,,,
47,eGon2035,11,49948,central_heat_pump,0.9609174799582383,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.9609174799582383,,0.0,0.0,0.0,1.0,0.0,,,,,,,
48,eGon2035,11,49948,central_resistive_heater,1.224473683923284,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1.224473683923284,,0.0,0.0,0.0,1.0,0.0,,,,,,,
49,eGon2035,11,50041,central_heat_pump,0.10482599454692235,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.10482599454692235,,0.0,0.0,0.0,1.0,0.0,,,,,,,
50,eGon2035,11,50041,central_resistive_heater,0.016119668802340916,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.016119668802340916,,0.0,0.0,0.0,1.0,0.0,,,,,,,
51,eGon2035,11,52222,rural_heat_pump,826.6852264562815,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,826.6852264562815,,0.0,0.0,0.0,1.0,0.0,,,,,,,
52,eGon2035,11,70348,BEV_charger,1563.6874182224274,False,inf,0.0,0.0,,0.9,0.0,0.0,0.0,1563.6874182224274,,0.0,0.0,0.0,1.0,0.0,,,,,,,
56,eGon2035,11,74927,central_heat_pump,4.861577733740556,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,4.861577733740556,,0.0,0.0,0.0,1.0,0.0,,,,,,,
