name,scn_name,bus,carrier,p_set
0 AC,eGon2035,0,AC,0.0
1 AC,eGon2035,1,AC,0.0
10 AC,eGon2035,10,AC,0.0
11 AC,eGon2035,11,AC,0.0
12 AC,eGon2035,12,AC,0.0
13 AC,eGon2035,13,AC,0.0
14 AC,eGon2035,14,AC,0.0
15 AC,eGon2035,15,AC,0.0
16 AC,eGon2035,16,AC,0.0
17 AC,eGon2035,17,AC,0.0
18 AC,eGon2035,18,AC,0.0
19 AC,eGon2035,19,AC,0.0
2 AC,eGon2035,2,AC,0.0
20 AC,eGon2035,20,AC,0.0
21 AC,eGon2035,21,AC,0.0
22 AC,eGon2035,22,AC,0.0
23 AC,eGon2035,23,AC,0.0
24 AC,eGon2035,24,AC,0.0
25 AC,eGon2035,25,AC,0.0
26 AC,eGon2035,26,AC,0.0
27 AC,eGon2035,27,AC,0.0
28 AC,eGon2035,28,AC,0.0
29 AC,eGon2035,29,AC,0.0
3 AC,eGon2035,3,AC,0.0
30 AC,eGon2035,30,AC,0.0
31 AC,eGon2035,31,AC,0.0
32 AC,eGon2035,32,AC,0.0
33 AC,eGon2035,33,AC,0.0
34 AC,eGon2035,34,AC,0.0
35 AC,eGon2035,35,AC,0.0
36 AC,eGon2035,36,AC,0.0
37 AC,eGon2035,37,AC,0.0
38 AC,eGon2035,38,AC,0.0
39 AC,eGon2035,39,AC,0.0
4 AC,eGon2035,4,AC,0.0
40 AC,eGon2035,40,AC,0.0
41 AC,eGon2035,41,AC,0.0
42 AC,eGon2035,42,AC,0.0
43 AC,eGon2035,43,AC,0.0
43775 AC,eGon2035,43775,AC,0.0
43775 H2_for_industry,eGon2035,43775,H2_for_industry,415.02148427083335
43776 AC,eGon2035,43776,AC,0.0
43776 H2_for_industry,eGon2035,43776,H2_for_industry,1598.13083625
43777 AC,eGon2035,43777,AC,0.0
43778 AC,eGon2035,43778,AC,0.0
43778 H2_for_industry,eGon2035,43778,H2_for_industry,517.5741359166666
43779 AC,eGon2035,43779,AC,0.0
43779 H2_for_industry,eGon2035,43779,H2_for_industry,764.9263341666666
43780 AC,eGon2035,43780,AC,0.0
43780 H2_for_industry,eGon2035,43780,H2_for_industry,764.9263341666666
43781 AC,eGon2035,43781,AC,0.0
43781 H2_for_industry,eGon2035,43781,H2_for_industry,1651.7463891666666
43782 AC,eGon2035,43782,AC,0.0
43782 H2_for_industry,eGon2035,43782,H2_for_industry,863.4360502083332
43783 AC,eGon2035,43783,AC,0.0
43783 H2_for_industry,eGon2035,43783,H2_for_industry,863.4360502083332
43784 AC,eGon2035,43784,AC,0.0
43785 AC,eGon2035,43785,AC,0.0
43785 H2_for_industry,eGon2035,43785,H2_for_industry,1694.1099472916665
43786 AC,eGon2035,43786,AC,0.0
43787 AC,eGon2035,43787,AC,0.0
43787 H2_for_industry,eGon2035,43787,H2_for_industry,609.9109516041666
43788 AC,eGon2035,43788,AC,0.0
43788 H2_for_industry,eGon2035,43788,H2_for_industry,1201.6882454166666
44 AC,eGon2035,44,AC,0.0
45 AC,eGon2035,45,AC,0.0
46 AC,eGon2035,46,AC,0.0
47 AC,eGon2035,47,AC,0.0
48 AC,eGon2035,48,AC,0.0
48639 CH4,eGon2035,48639,CH4,0.0
48640 CH4,eGon2035,48640,CH4,0.0
48641 CH4,eGon2035,48641,CH4,0.0
48642 CH4,eGon2035,48642,CH4,0.0
48643 CH4,eGon2035,48643,CH4,0.0
48644 CH4,eGon2035,48644,CH4,0.0
48645 CH4,eGon2035,48645,CH4,0.0
48646 CH4,eGon2035,48646,CH4,0.0
48647 CH4,eGon2035,48647,CH4,0.0
48648 CH4,eGon2035,48648,CH4,0.0
48649 CH4,eGon2035,48649,CH4,0.0
48650 CH4,eGon2035,48650,CH4,0.0
49 AC,eGon2035,49,AC,0.0
49537 central_heat,eGon2035,49537,central_heat,0.0
49561 central_heat,eGon2035,49561,central_heat,0.0
49625 central_heat,eGon2035,49625,central_heat,0.0
49653 central_heat,eGon2035,49653,central_heat,0.0
49672 central_heat,eGon2035,49672,central_heat,0.0
49682 central_heat,eGon2035,49682,central_heat,0.0
49755 central_heat,eGon2035,49755,central_heat,0.0
49758 central_heat,eGon2035,49758,central_heat,0.0
49783 central_heat,eGon2035,49783,central_heat,0.0
49900 central_heat,eGon2035,49900,central_heat,0.0
49907 central_heat,eGon2035,49907,central_heat,0.0
49948 central_heat,eGon2035,49948,central_heat,0.0
49985 central_heat,eGon2035,49985,central_heat,0.0
49990 central_heat,eGon2035,49990,central_heat,0.0
49991 central_heat,eGon2035,49991,central_heat,0.0
49992 central_heat,eGon2035,49992,central_heat,0.0
5 AC,eGon2035,5,AC,0.0
50 AC,eGon2035,50,AC,0.0
50029 central_heat,eGon2035,50029,central_heat,0.0
50041 central_heat,eGon2035,50041,central_heat,0.0
50045 central_heat,eGon2035,50045,central_heat,0.0
50068 central_heat,eGon2035,50068,central_heat,0.0
50084 central_heat,eGon2035,50084,central_heat,0.0
50089 central_heat,eGon2035,50089,central_heat,0.0
50112 central_heat,eGon2035,50112,central_heat,0.0
50120 central_heat,eGon2035,50120,central_heat,0.0
50179 central_heat,eGon2035,50179,central_heat,0.0
50228 central_heat,eGon2035,50228,central_heat,0.0
50365 central_heat,eGon2035,50365,central_heat,0.0
50380 central_heat,eGon2035,50380,central_heat,0.0
50382 central_heat,eGon2035,50382,central_heat,0.0
50435 central_heat,eGon2035,50435,central_heat,0.0
50473 central_heat,eGon2035,50473,central_heat,0.0
50490 central_heat,eGon2035,50490,central_heat,0.0
50492 central_heat,eGon2035,50492,central_heat,0.0
50533 central_heat,eGon2035,50533,central_heat,0.0
50583 central_heat,eGon2035,50583,central_heat,0.0
50587 central_heat,eGon2035,50587,central_heat,0.0
50595 central_heat,eGon2035,50595,central_heat,0.0
50600 central_heat,eGon2035,50600,central_heat,0.0
50662 central_heat,eGon2035,50662,central_heat,0.0
50676 central_heat,eGon2035,50676,central_heat,0.0
50722 central_heat,eGon2035,50722,central_heat,0.0
50749 central_heat,eGon2035,50749,central_heat,0.0
50797 central_heat,eGon2035,50797,central_heat,0.0
50811 central_heat,eGon2035,50811,central_heat,0.0
50846 central_heat,eGon2035,50846,central_heat,0.0
50852 central_heat,eGon2035,50852,central_heat,0.0
50864 central_heat,eGon2035,50864,central_heat,0.0
50868 central_heat,eGon2035,50868,central_heat,0.0
50910 central_heat,eGon2035,50910,central_heat,0.0
50974 central_heat,eGon2035,50974,central_heat,0.0
50988 central_heat,eGon2035,50988,central_heat,0.0
50995 central_heat,eGon2035,50995,central_heat,0.0
51 AC,eGon2035,51,AC,0.0
51055 central_heat,eGon2035,51055,central_heat,0.0
51081 central_heat,eGon2035,51081,central_heat,0.0
51088 central_heat,eGon2035,51088,central_heat,0.0
51103 central_heat,eGon2035,51103,central_heat,0.0
51121 central_heat,eGon2035,51121,central_heat,0.0
51130 central_heat,eGon2035,51130,central_heat,0.0
51140 central_heat,eGon2035,51140,central_heat,0.0
51156 central_heat,eGon2035,51156,central_heat,0.0
51168 central_heat,eGon2035,51168,central_heat,0.0
51226 central_heat,eGon2035,51226,central_heat,0.0
51242 central_heat,eGon2035,51242,central_heat,0.0
51252 central_heat,eGon2035,51252,central_heat,0.0
51256 central_heat,eGon2035,51256,central_heat,0.0
51329 central_heat,eGon2035,51329,central_heat,0.0
51365 central_heat,eGon2035,51365,central_heat,0.0
51372 central_heat,eGon2035,51372,central_heat,0.0
51379 central_heat,eGon2035,51379,central_heat,0.0
51404 central_heat,eGon2035,51404,central_heat,0.0
51421 central_heat,eGon2035,51421,central_heat,0.0
51427 central_heat,eGon2035,51427,central_heat,0.0
51428 central_heat,eGon2035,51428,central_heat,0.0
51432 central_heat,eGon2035,51432,central_heat,0.0
51472 central_heat,eGon2035,51472,central_heat,0.0
51480 central_heat,eGon2035,51480,central_heat,0.0
51483 central_heat,eGon2035,51483,central_heat,0.0
51490 central_heat,eGon2035,51490,central_heat,0.0
51491 central_heat,eGon2035,51491,central_heat,0.0
51495 central_heat,eGon2035,51495,central_heat,0.0
51503 central_heat,eGon2035,51503,central_heat,0.0
51523 central_heat,eGon2035,51523,central_heat,0.0
51556 central_heat,eGon2035,51556,central_heat,0.0
51611 central_heat,eGon2035,51611,central_heat,0.0
51622 central_heat,eGon2035,51622,central_heat,0.0
51632 central_heat,eGon2035,51632,central_heat,0.0
51638 central_heat,eGon2035,51638,central_heat,0.0
51647 central_heat,eGon2035,51647,central_heat,0.0
51672 central_heat,eGon2035,51672,central_heat,0.0
51702 central_heat,eGon2035,51702,central_heat,0.0
51704 central_heat,eGon2035,51704,central_heat,0.0
51709 central_heat,eGon2035,51709,central_heat,0.0
51713 central_heat,eGon2035,51713,central_heat,0.0
51723 central_heat,eGon2035,51723,central_heat,0.0
51732 central_heat,eGon2035,51732,central_heat,0.0
51737 central_heat,eGon2035,51737,central_heat,0.0
51742 central_heat,eGon2035,51742,central_heat,0.0
51744 central_heat,eGon2035,51744,central_heat,0.0
51762 central_heat,eGon2035,51762,central_heat,0.0
51766 central_heat,eGon2035,51766,central_heat,0.0
51836 central_heat,eGon2035,51836,central_heat,0.0
51841 central_heat,eGon2035,51841,central_heat,0.0
51862 central_heat,eGon2035,51862,central_heat,0.0
51892 central_heat,eGon2035,51892,central_heat,0.0
51910 central_heat,eGon2035,51910,central_heat,0.0
51925 central_heat,eGon2035,51925,central_heat,0.0
51933 central_heat,eGon2035,51933,central_heat,0.0
51935 central_heat,eGon2035,51935,central_heat,0.0
51937 central_heat,eGon2035,51937,central_heat,0.0
51950 central_heat,eGon2035,51950,central_heat,0.0
51958 central_heat,eGon2035,51958,central_heat,0.0
51971 central_heat,eGon2035,51971,central_heat,0.0
52 AC,eGon2035,52,AC,0.0
52030 central_heat,eGon2035,52030,central_heat,0.0
52033 central_heat,eGon2035,52033,central_heat,0.0
52035 central_heat,eGon2035,52035,central_heat,0.0
52040 rural_heat,eGon2035,52040,rural_heat,0.0
52041 rural_heat,eGon2035,52041,rural_heat,0.0
52042 rural_heat,eGon2035,52042,rural_heat,0.0
52043 rural_heat,eGon2035,52043,rural_heat,0.0
52044 rural_heat,eGon2035,52044,rural_heat,0.0
52046 rural_heat,eGon2035,52046,rural_heat,0.0
52047 rural_heat,eGon2035,52047,rural_heat,0.0
52048 rural_heat,eGon2035,52048,rural_heat,0.0
52050 rural_heat,eGon2035,52050,rural_heat,0.0
52051 rural_heat,eGon2035,52051,rural_heat,0.0
52052 rural_heat,eGon2035,52052,rural_heat,0.0
52053 rural_heat,eGon2035,52053,rural_heat,0.0
52055 rural_heat,eGon2035,52055,rural_heat,0.0
