name,scn_name,bus,carrier,e_nom,e_nom_extendable,e_nom_max,e_initial,e_cyclic,capital_cost,e_nom_opt
37850 dsm,eGon2035,37850,dsm,3.705926405024811,False,inf,0.0,False,0.0,3.705926405024811
41240 dsm,eGon2035,41240,dsm,45.929969292488764,False,inf,0.0,False,0.0,45.929969292488764
41250 dsm,eGon2035,41250,dsm,88.89378213320806,False,inf,0.0,False,0.0,88.89378213320806
41276 dsm,eGon2035,41276,dsm,190.81344742516114,False,inf,0.0,False,0.0,190.81344742516114
41278 dsm,eGon2035,41278,dsm,61.1850197682977,False,inf,0.0,False,0.0,61.1850197682977
41280 dsm,eGon2035,41280,dsm,61.360195157501146,False,inf,0.0,False,0.0,61.360195157501146
41284 dsm,eGon2035,41284,dsm,35.6946013501023,False,inf,0.0,False,0.0,35.6946013501023
41288 dsm,eGon2035,41288,dsm,125.16132797447507,False,inf,0.0,False,0.0,125.16132797447507
41290 dsm,eGon2035,41290,dsm,321.6181108982478,False,inf,0.0,False,0.0,321.6181108982478
41364 dsm,eGon2035,41364,dsm,39.399515607108306,False,inf,0.0,False,0.0,39.399515607108306
41382 dsm,eGon2035,41382,dsm,44.43055729160325,False,inf,0.0,False,0.0,44.43055729160325
41422 dsm,eGon2035,41422,dsm,4.8238703446965925,False,inf,0.0,False,0.0,4.8238703446965925
41516 dsm,eGon2035,41516,dsm,10.802092019382643,False,inf,0.0,False,0.0,10.802092019382643
41526 dsm,eGon2035,41526,dsm,27.91480593313585,False,inf,0.0,False,0.0,27.91480593313585
41530 dsm,eGon2035,41530,dsm,184.59408331810644,False,inf,0.0,False,0.0,184.59408331810644
41532 dsm,eGon2035,41532,dsm,13.875054133018805,False,inf,0.0,False,0.0,13.875054133018805
41542 dsm,eGon2035,41542,dsm,21.36467410820877,False,inf,0.0,False,0.0,21.36467410820877
41544 dsm,eGon2035,41544,dsm,57.76430725897391,False,inf,0.0,False,0.0,57.76430725897391
41546 dsm,eGon2035,41546,dsm,20.50073303117077,False,inf,0.0,False,0.0,20.50073303117077
41566 dsm,eGon2035,41566,dsm,25.564689622390404,False,inf,0.0,False,0.0,25.564689622390404
41570 dsm,eGon2035,41570,dsm,19.977160896313137,False,inf,0.0,False,0.0,19.977160896313137
41586 dsm,eGon2035,41586,dsm,70.95768071944308,False,inf,0.0,False,0.0,70.95768071944308
41614 dsm,eGon2035,41614,dsm,52.06221378190682,False,inf,0.0,False,0.0,52.06221378190682
42020 dsm,eGon2035,42020,dsm,114.02454418239606,False,inf,0.0,False,0.0,114.02454418239606
42036 dsm,eGon2035,42036,dsm,77.36174852665687,False,inf,0.0,False,0.0,77.36174852665687
42476 dsm,eGon2035,42476,dsm,63.5440286699854,False,inf,0.0,False,0.0,63.5440286699854
42482 dsm,eGon2035,42482,dsm,58.89017618727087,False,inf,0.0,False,0.0,58.89017618727087
42484 dsm,eGon2035,42484,dsm,36.19874827688989,False,inf,0.0,False,0.0,36.19874827688989
42486 dsm,eGon2035,42486,dsm,68.17006135925315,False,inf,0.0,False,0.0,68.17006135925315
42514 dsm,eGon2035,42514,dsm,38.06300390068081,False,inf,0.0,False,0.0,38.06300390068081
42516 dsm,eGon2035,42516,dsm,27.31845018529859,False,inf,0.0,False,0.0,27.31845018529859
42526 dsm,eGon2035,42526,dsm,7.577108356330506,False,inf,0.0,False,0.0,7.577108356330506
42528 dsm,eGon2035,42528,dsm,47.560950908448426,False,inf,0.0,False,0.0,47.560950908448426
42530 dsm,eGon2035,42530,dsm,45.586256184557115,False,inf,0.0,False,0.0,45.586256184557115
42612 dsm,eGon2035,42612,dsm,14.403710698789574,False,inf,0.0,False,0.0,14.403710698789574
