name,scn_name,bus,carrier,p_nom,p_nom_extendable,p_nom_min,p_max_pu,capital_cost,max_hours,efficiency_store,efficiency_dispatch,control,p_nom_opt
0 battery,eGon2035,0,battery,0.0,True,332.46372598499244,1.0,64763.66650831822,6.0,0.9797958971132712,0.9797958971132712,PV,332.4646267764228
0 pumped_hydro,eGon2035,0,pumped_hydro,59.0,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,59.0
1 battery,eGon2035,1,battery,0.0,True,59.84836823486024,1.0,64763.66650831822,6.0,0.9797958971132712,0.9797958971132712,PV,59.84872269217946
10 battery,eGon2035,10,battery,0.0,True,183.7780063623563,1.0,64763.666508318216,6.0,0.9797958971132712,0.9797958971132712,PV,183.77865423642112
11 battery,eGon2035,11,battery,0.0,True,409.28373535714024,1.0,64763.666508318216,6.0,0.9797958971132712,0.9797958971132712,PV,409.28414197747725
11 pumped_hydro,eGon2035,11,pumped_hydro,190.0,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,190.0
12 battery,eGon2035,12,battery,0.0,True,222.52208596106126,1.0,64763.666508318216,6.0,0.9797958971132712,0.9797958971132712,PV,222.52358948299786
13 battery,eGon2035,13,battery,0.0,True,159.48415821791906,1.0,64763.66650831822,6.0,0.9797958971132712,0.9797958971132712,PV,159.48436072475488
14 battery,eGon2035,14,battery,0.0,True,114.91754975967037,1.0,64763.666508318216,5.999999999999999,0.9797958971132711,0.9797958971132711,PV,114.91864644481502
14 pumped_hydro,eGon2035,14,pumped_hydro,28.0,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,28.0
15 battery,eGon2035,15,battery,0.0,True,60.22657650346846,1.0,64763.666508318216,6.0,0.9797958971132712,0.9797958971132712,PV,60.228190813813534
16 battery,eGon2035,16,battery,0.0,True,88.88856602199567,1.0,64763.666508318216,6.0,0.9797958971132711,0.9797958971132711,PV,88.89027299069195
16 pumped_hydro,eGon2035,16,pumped_hydro,79.7,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,79.7
17 battery,eGon2035,17,battery,0.0,True,200.50074195420007,1.0,64763.666508318216,6.0,0.9797958971132712,0.9797958971132712,PV,200.5015139509666
18 battery,eGon2035,18,battery,0.0,True,235.60621066529998,1.0,64763.666508318216,6.000000000000001,0.9797958971132711,0.9797958971132711,PV,235.60724201546154
19 battery,eGon2035,19,battery,0.0,True,107.80536906275178,1.0,64763.666508318216,6.000000000000001,0.9797958971132712,0.9797958971132712,PV,107.80600336112299
19 pumped_hydro,eGon2035,19,pumped_hydro,1851.6,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,1851.6
2 battery,eGon2035,2,battery,0.0,True,207.61072176554032,1.0,64763.666508318216,5.999999999999999,0.9797958971132711,0.9797958971132711,PV,207.61223763480973
20 battery,eGon2035,20,battery,0.0,True,250.70964603653624,1.0,64763.66650831822,6.0,0.9797958971132712,0.9797958971132712,PV,250.70998913652843
21 battery,eGon2035,21,battery,0.0,True,94.42189968716944,1.0,64763.666508318216,6.0,0.9797958971132712,0.9797958971132712,PV,94.4219304142482
22 battery,eGon2035,22,battery,0.0,True,58.828478301546525,1.0,64763.666508318216,6.0,0.9797958971132712,0.9797958971132712,PV,58.83090252752281
23 battery,eGon2035,23,battery,0.0,True,382.86441973177125,1.0,64763.666508318216,5.999999999999999,0.9797958971132711,0.9797958971132711,PV,382.8650401097968
24 battery,eGon2035,24,battery,0.0,True,30.513508909573765,1.0,64763.666508318216,5.999999999999999,0.9797958971132711,0.9797958971132711,PV,30.5142172454229
25 battery,eGon2035,25,battery,0.0,True,72.5548976293542,1.0,64763.66650831822,6.0,0.9797958971132712,0.9797958971132712,PV,72.55666137702266
26 battery,eGon2035,26,battery,0.0,True,64.17006951754341,1.0,64763.666508318216,6.0,0.9797958971132712,0.9797958971132712,PV,64.17072188203224
