bus,cluster,foreign,medoid_idx
10018,7,,
1002,12,,
10023,7,,
10025,7,,
1005,12,,
10057,32,,
10060,11,,
10069,23,,
10070,4,,
10120,29,,
10134,23,,
10139,23,,
1017,19,,
10171,9,,
10173,9,,
10196,2,,
10197,2,,
10198,2,,
1020,19,,
10201,2,,
10208,6,,
10223,32,,
10234,8,,
10239,8,,
1024,25,,
10244,4,,
10245,4,,
10258,9,,
10259,9,,
1026,25,,
10260,9,,
10261,9,,
1027,32,,
10277,18,,
1028,32,,
10295,9,,
10296,9,,
10297,9,,
10312,29,,
10324,6,,
10339,16,,
10342,16,,
10363,29,,
1038,25,,
10386,32,,
1040,25,,
1041,25,,
1042,25,,
10433,18,,
10441,18,,
10452,18,,
10455,18,,
10456,2,,
10489,27,,
10493,13,,
105,32,,
10564,2,,
10579,4,,
10584,4,,
106,32,,
10606,14,,
10610,35,,
10611,35,,
10613,35,,
10618,35,,
10623,13,,
10683,9,,
10686,9,,
10691,14,,
10696,23,,
10701,28,,
10728,32,,
1076,25,,
10798,9,,
10799,9,,
108,32,,
10805,2,,
1081,25,,
10814,2,,
10821,9,,
10828,2,,
1089,25,,
10900,2,,
10918,2,,
10921,32,,
10937,28,,
10938,28,,
10963,16,,
10966,2,,
10969,32,,
10979,26,,
10981,26,,
10983,26,,
10985,25,,
10986,25,,
10987,25,,
10988,25,,
10991,25,,
11016,2,,
11018,2,,
11019,11,,
1102,25,,
11026,12,,
11033,28,,
11042,28,,
11047,25,,
11048,25,,
11051,16,,
11054,16,,
11055,16,,
11056,16,,
11063,28,,
11064,28,,
11066,28,,
11068,28,,
11069,28,,
1107,25,,
11073,28,,
11078,30,,
11080,30,,
11081,30,,
11085,35,,
11087,35,,
111,26,,
11114,13,,
11116,7,,
11117,7,,
11119,7,,
11121,7,,
11124,7,,
11127,23,,
11133,13,,
11134,13,,
11138,13,,
11139,13,,
11141,7,,
11151,11,,
11153,11,,
11154,11,,
112,26,,
11216,25,,
11217,25,,
1122,32,,
1123,32,,
11230,6,,
11236,6,,
11238,6,,
11243,25,,
11244,25,,
11246,25,,
11253,18,,
11254,18,,
11255,18,,
11256,18,,
11259,18,,
1126,32,,32
11260,26,,
11267,25,,
11273,28,,
11278,15,,
11279,15,,
11292,7,,
11295,7,,
11306,11,,
11307,11,,
11308,11,,11
11322,7,,
11324,7,,
11327,7,,
11333,28,,
11334,28,,
11336,28,,
11346,7,,
11360,20,,
11361,20,,
11368,35,,
11376,9,,
11396,32,,
11429,0,,
11430,20,,
11432,20,,
11433,20,,
11464,4,,
11470,4,,
11473,4,,
11486,28,,
11517,11,,
11527,32,,
11540,4,,
11541,4,,
11549,4,,
11556,2,,
11566,4,,
11581,28,,
11601,32,,
11603,32,,
11605,32,,
11606,32,,
11607,32,,
11608,7,,
11624,26,,
11625,26,,
11628,26,,
11629,26,,
11660,11,,
11674,25,,
11679,25,,
1168,26,,
11680,25,,
11690,14,,
11703,26,,
11704,26,,26
11707,26,,
11708,18,,
11724,19,,
11727,19,,
11730,32,,
11731,32,,
11765,28,,
11769,28,,
11778,2,,
11780,2,,
11789,6,,
11790,6,,
11813,3,,
11816,3,,
11819,3,,
11820,3,,
11821,3,,
11822,3,,
11823,3,,
11824,3,,
11825,3,,
11843,16,,
11849,12,,
11852,12,,
11871,2,,
11898,19,,
1190,7,,
1191,7,,
11919,25,,
11923,25,,
1193,7,,
11936,9,,
11960,14,,
11961,13,,
11967,13,,
11969,13,,
1199,12,,
12,8,,
12081,2,,
12095,7,,
12096,7,,
1210,12,,
12106,14,,
12107,14,,
12109,14,,
12125,26,,
12130,14,,
12135,6,,
12139,14,,
12152,2,,
1220,9,,
1222,9,,
12221,26,,
12236,11,,
12238,11,,
12239,11,,
12241,11,,
12245,30,,
1226,9,,
1227,9,,
12282,7,,
12287,7,,
12288,7,,
12360,2,,
12409,25,,
12410,25,,
12466,35,,
12468,35,,
1247,6,,
12484,3,,
12485,3,,
12487,3,,
12490,3,,
12492,3,,
12493,3,,
12497,3,,
12498,3,,
12499,3,,
1251,6,,
12548,6,,
12590,26,,
1260,32,,
12623,6,,
1265,7,,
12656,9,,
12657,9,,
12660,9,,
12667,20,,
12671,20,,
12676,20,,
12679,20,,
1269,7,,
12704,20,,
1271,7,,
12721,28,,
12722,28,,
12728,30,,
12729,10,,
1273,7,,
12731,30,,
12741,8,,
12754,17,,
12755,17,,
12756,17,,17
12757,17,,
12759,5,,
1276,31,,
12761,5,,
12762,5,,
12768,7,,
12769,7,,
12774,2,,
12797,24,,
12798,29,,
12806,8,,
12808,8,,
1281,26,,
12822,31,,
12837,21,,
12839,21,,
1284,26,,
12840,21,,
12841,21,,
12843,19,,
12844,19,,
12855,13,,
12862,5,,
12863,5,,
12881,24,,
12884,24,,
12888,13,,
12893,26,,
12894,26,,
129,32,,
12902,5,,
12903,5,,
12904,5,,
12905,5,,
12907,5,,
12910,24,,
12921,8,,
12936,24,,
12939,25,,
12941,25,,
12954,8,,
12961,1,,
12962,24,,
12967,24,,
12980,13,,
12996,29,,
130,32,,
13000,18,,
13008,12,,
13010,12,,
13012,12,,
13018,17,,
13030,12,,
13039,18,,
13047,18,,
13048,18,,
13049,18,,
13053,26,,
13054,26,,
13056,26,,
13059,26,,
13065,1,,
13066,34,,
13067,34,,
13068,34,,
1308,6,,
13082,13,,
13093,34,,
13095,34,,
13097,18,,
13103,28,,
13113,24,,
13114,24,,
13120,24,,
13121,24,,
13124,2,,
13136,26,,
13137,26,,
13139,26,,
13140,26,,
13141,26,,
13166,25,,
13171,17,,
13192,12,,
13202,5,,
13205,12,,
13206,12,,
13208,12,,
13210,12,,
13215,25,,
13233,24,,
13234,24,,
1324,7,,
13244,0,,
13256,24,,
13262,24,,
13263,24,,
13264,24,,
13280,24,,
13282,24,,
13283,24,,
13290,1,,
13297,31,,
133,32,,
13304,5,,
13316,28,,
13319,28,,
13321,28,,
13323,12,,
13324,12,,
13327,24,,
13333,5,,
13334,5,,
13343,31,,
13344,31,,
13346,31,,
13349,13,,
13354,5,,
1336,26,,
13364,3,,
13365,3,,
13367,3,,
1337,26,,
13380,24,,
13381,24,,
13382,8,,
13383,24,,
13385,8,,
13399,19,,
134,32,,
13400,19,,
13402,19,,
13420,19,,
13433,24,,
13434,24,,
13435,24,,
13436,24,,
13446,24,,
13447,22,,
13448,25,,
13464,16,,
13467,16,,
13472,17,,
1349,31,,
135,32,,
13502,7,,
13504,7,,
13507,2,,
13508,2,,
13513,13,,
13537,2,,
1354,7,,
13543,25,,
13545,25,,
13558,10,,
13562,19,,
13563,19,,
13565,31,,
13575,24,,
13588,29,,
13589,29,,
13593,29,,
1361,7,,
1362,7,,
1363,7,,
13635,13,,
13636,1,,
1364,7,,
13640,1,,
1365,7,,
13655,13,,
13663,34,,
13673,29,,
13675,8,,
13681,26,,
13696,10,,
13698,30,,
137,32,,
13707,25,,
1371,32,,
13713,21,,
13714,17,,
13729,3,,
13735,3,,
13736,3,,
1374,32,,
13740,3,,
13756,29,,
13758,21,,
13766,29,,
13780,1,,
13786,34,,
13787,34,,
13794,7,,
13795,7,,
138,32,,
13804,10,,
13844,26,,
13846,26,,
13851,34,,
13859,29,,
13896,12,,
13905,21,,
13912,26,,
13914,26,,
1394,6,,
1396,6,,
13962,7,,
13992,31,,
13993,31,,
14000,0,,
14002,0,,
14004,0,,
14010,29,,
14023,28,,
14032,25,,
14062,25,,
14068,20,,
1408,21,,
1409,21,,
1410,21,,
14102,28,,
1411,21,,
14122,31,,
14124,31,,
14126,31,,
14127,31,,
14128,31,,
1413,21,,
14144,29,,
14145,29,,
14146,29,,
14147,29,,
14149,29,,
14150,29,,
14152,29,,
14154,29,,
1416,12,,
14162,19,,
1417,12,,
14186,29,,
14189,31,,
14197,31,,
14206,31,,
14212,31,,
14256,8,,
14287,8,,
143,30,,
14305,29,,
14306,29,,
14307,29,,
14308,29,,
14322,27,,
1434,12,,
1439,12,,
14399,8,,
14406,13,,
14477,26,,
14479,2,,
14481,2,,
1449,8,,
1450,8,,
1453,8,,
14532,25,,
1455,8,,
14557,30,,
14569,23,,
1457,8,,
14621,18,,
1463,5,,
14631,13,,
14636,12,,
14652,25,,
14655,10,,
14657,0,,
14659,0,,
14664,25,,
14665,25,,
14671,25,,
14674,7,,
14676,7,,
14678,7,,
14691,27,,
14719,26,,
14721,26,,
14726,3,,
14739,7,,
14741,7,,
14747,22,,
1476,7,,
14765,0,,
14768,0,,
14770,0,,
14771,0,,
14774,7,,
14775,7,,
1478,7,,
14780,0,,
14789,0,,
14791,0,,
14799,31,,
1480,7,,
14809,29,,
1481,7,,
14812,25,,
14832,27,,
1485,27,,
14855,8,,
1486,27,,
14860,12,,
14863,12,,
14887,6,,
14888,6,,
1489,27,,
14890,2,,
14893,8,,
14894,2,,
14895,2,,
14900,10,,
14901,10,,
14902,10,,
14908,1,,
1491,25,,
14910,27,,
14916,11,,
14918,11,,
