bus_id,cluster,medoid_idx
47355,0,48087
47358,0,48087
47359,0,48087
47360,70,48212
47361,0,48087
47362,0,48087
47363,0,48087
47364,46,47614
47365,18,48128
47366,0,48087
47367,70,48212
47368,70,48212
47369,70,48212
47370,70,48212
47371,70,48212
47372,70,48212
47373,18,48128
47374,46,47614
47375,59,47376
47376,59,47376
47377,59,47376
47378,59,47376
47379,59,47376
47380,72,47381
47381,72,47381
47382,43,47383
47383,43,47383
47384,43,47383
47385,43,47383
47386,43,47383
47387,43,47383
47388,62,48058
47389,43,47383
47390,62,48058
47391,70,48212
47392,55,47597
47393,62,48058
47394,62,48058
47395,62,48058
47396,33,48163
47397,39,47403
47398,39,47403
47399,39,47403
47400,9,47845
47401,9,47845
47402,9,47845
47403,39,47403
47404,13,47408
47405,48,47556
47406,48,47556
47407,48,47556
47408,13,47408
47409,13,47408
47410,13,47408
47411,33,48163
47412,33,48163
47413,39,47403
47414,26,47417
47415,49,47420
47416,26,47417
47417,26,47417
47418,49,47420
47419,49,47420
47420,49,47420
47421,49,47420
47422,49,47420
47423,65,48085
47424,80,47426
47425,80,47426
47426,80,47426
47427,80,47426
47428,65,48085
47429,4,48254
47430,19,47936
47431,19,47936
47432,19,47936
47433,4,48254
47434,76,47434
47435,4,48254
47436,83,47436
47437,30,47480
47438,4,48254
47439,71,47966
47440,71,47966
47441,58,47731
47442,58,47731
47443,22,48215
47444,22,48215
47445,22,48215
47446,58,47731
47447,58,47731
47448,85,48327
47449,85,48327
47450,40,47450
47451,40,47450
47452,85,48327
47453,23,48317
47454,23,48317
47455,23,48317
47456,75,48382
47457,75,48382
47458,7,47576
47459,61,47515
47460,84,48314
47461,84,48314
47462,84,48314
47463,84,48314
47464,7,47576
47465,7,47576
47466,68,47466
47467,68,47466
47468,13,47408
47469,13,47408
47470,84,48314
47471,28,48111
47472,0,48087
47473,46,47614
47474,34,47491
47475,36,47807
47476,36,47807
47477,36,47807
47478,36,47807
47479,30,47480
47480,30,47480
47481,30,47480
47482,15,48153
47483,15,48153
47484,15,48153
47485,15,48153
47486,38,48100
47487,25,47578
47488,25,47578
47489,25,47578
47490,25,47578
47491,34,47491
47492,34,47491
47493,34,47491
47494,66,47499
