snapshot,converged,error,n_iter
2011-01-01 00:00:00,True,2.1652368731306382e-08,4
2011-01-01 10:00:00,True,6.461745272190456e-08,4
2011-01-01 20:00:00,True,1.7631612081459025e-07,3
2011-01-02 06:00:00,True,2.584434355412668e-07,3
2011-01-02 16:00:00,True,2.231429903076787e-07,3
2011-01-03 02:00:00,True,6.511201533498934e-08,4
2011-01-03 12:00:00,True,3.0603516165683686e-08,4
2011-01-03 22:00:00,True,2.185994674164249e-08,4
2011-01-04 08:00:00,True,2.6954523946187692e-08,3
2011-01-04 18:00:00,True,3.019954419869464e-08,3
2011-01-05 04:00:00,True,3.850410346117883e-08,3
2011-01-05 14:00:00,True,2.4211704641174947e-08,4
2011-01-06 00:00:00,True,6.192053159104205e-08,3
2011-01-06 10:00:00,True,2.448685165745701e-08,4
2011-01-06 20:00:00,False,9.427242235707635e+31,100
2011-01-07 06:00:00,True,1.3596764603107658e-08,4
2011-01-07 16:00:00,True,2.6030015476408153e-08,4
2011-01-08 02:00:00,True,5.932076874159975e-08,3
2011-01-08 12:00:00,True,5.1026859182456974e-08,3
2011-01-08 22:00:00,True,2.9657157174511894e-08,4
2011-01-09 08:00:00,True,9.90221565189131e-07,3
2011-01-09 18:00:00,True,4.791360197486938e-07,3
2011-01-10 04:00:00,True,2.227454309888799e-08,4
2011-01-10 14:00:00,True,2.5290088245810693e-08,4
2011-01-11 00:00:00,True,3.2166212804440875e-08,3
2011-01-11 10:00:00,True,3.010468390129972e-07,3
2011-01-11 20:00:00,True,4.900328409718213e-08,4
2011-01-12 06:00:00,True,8.359586445294553e-08,3
2011-01-12 16:00:00,True,2.0115106913465297e-08,4
2011-01-13 02:00:00,True,3.018884520145093e-08,3
2011-01-13 12:00:00,True,1.3683443711443033e-08,5
2011-01-13 22:00:00,True,3.194820408225496e-08,3
2011-01-14 08:00:00,True,2.710233704128484e-08,4
2011-01-14 18:00:00,True,4.640094175556442e-08,3
2011-01-15 04:00:00,True,4.269600317741151e-08,4
2011-01-15 14:00:00,True,1.0844905773410574e-07,3
2011-01-16 00:00:00,True,2.0479672002693405e-07,3
2011-01-16 10:00:00,True,4.435312384032386e-08,4
2011-01-16 20:00:00,True,1.8764645837165972e-08,4
2011-01-17 06:00:00,False,5.93846286173908e+30,100
2011-01-17 16:00:00,False,2.6175198347213635e+35,100
2011-01-18 02:00:00,False,1.830824886320647e+35,100
2011-01-18 12:00:00,False,2.24736169364344e+29,100
2011-01-18 22:00:00,True,3.1236844222348736e-08,4
2011-01-19 08:00:00,True,1.445269681710215e-08,4
2011-01-19 18:00:00,True,4.183453583550545e-08,4
2011-01-20 04:00:00,True,2.1922840431898294e-08,4
2011-01-20 14:00:00,False,4.1348928567766035e+36,100
2011-01-21 00:00:00,False,5.681291712829757e+36,100
2011-01-21 10:00:00,False,7.047878007197961e+33,100
