AC ID,Heat ID,Distance to Heat [km],Point Heat
30869,50519,4.632,POINT (956717.0241812277 6484056.651072781)
30870,50373,6.157,POINT (982976.2200106955 6423873.840729131)
30877,49686,9.523,POINT (1262769.592992377 6146441.2291228045)
30885,51422,3.58,POINT (848148.5794438067 6793932.466252147)
30891,50913,4.496,POINT (768555.7677677703 6624327.279719904)
30897,51390,0.907,POINT (1201668.2065615342 6771555.78127847)
30900,50804,3.988,POINT (764217.3614194309 6600300.167436198)
30902,50801,4.86,POINT (776478.138832426 6590073.58689092)
30909,50801,6.291,POINT (776478.138832426 6590073.58689092)
30910,50801,4.218,POINT (776478.138832426 6590073.58689092)
30914,49853,2.655,POINT (1020478.4867851149 6222088.2423394825)
30915,49853,1.265,POINT (1020478.4867851149 6222088.2423394825)
30917,51115,2.298,POINT (1360779.324517859 6675328.411370742)
30920,52014,9.275,POINT (787206.5527609236 6719391.787507646)
30922,50914,4.352,POINT (776982.030926395 6621262.991279599)
30942,51306,7.389,POINT (823799.8298801009 6732470.616622939)
30943,51302,38.733,POINT (725961.1672899885 6725401.810158506)
30958,51509,3.359,POINT (973505.9153884025 6843430.938117457)
30964,49940,3.258,POINT (1003076.2262937301 6239522.194081256)
30967,50500,1.471,POINT (948763.0046700559 6474499.024589695)
30968,49873,8.727,POINT (1002642.6818632026 6222121.081732349)
30971,50433,7.835,POINT (977598.6141695951 6449635.244239845)
30975,50705,19.032,POINT (1255299.9793243604 6564828.618772726)
30977,50848,1.588,POINT (685930.4605634279 6598949.861344807)
30982,50547,4.108,POINT (1220361.3491912547 6490936.816728715)
30985,51845,4.484,POINT (1100102.1992172105 7081793.172631205)
30986,50519,1.306,POINT (956717.0241812277 6484056.651072781)
30987,51539,3.165,POINT (1552312.4338171321 6844970.926959386)
30988,51832,8.955,POINT (1063581.6987603568 7083670.743361861)
30995,49878,1.285,POINT (1028658.6436009349 6219343.85019821)
31000,50381,14.788,POINT (913936.3702029982 6429622.666514815)
31002,51808,4.301,POINT (1115429.4634367824 7054945.800053957)
31003,50475,5.414,POINT (940624.5620612851 6461668.051753476)
31010,51583,10.054,POINT (1067979.310214573 6871734.5976207)
31019,50852,2.808,POINT (691729.8553914147 6599455.919645838)
31020,51830,13.916,POINT (904536.8191810454 7081054.725118739)
31024,51811,15.261,POINT (904995.502371747 7057264.500411502)
31027,50482,3.621,POINT (991336.2697476193 6469375.224347872)
31029,50575,3.676,POINT (947079.5403760873 6498640.774183033)
31030,51579,5.832,POINT (1456492.9581799365 6870356.83813397)
31031,51239,7.639,POINT (1341411.5775174866 6712443.0440552)
31032,51549,8.595,POINT (1109358.8712533219 6857282.198787854)
31039,50523,1.882,POINT (979674.654744856 6480038.993351712)
31042,51576,3.469,POINT (1199574.7026982077 6876392.721308389)
31044,51153,6.554,POINT (1368810.3982019327 6684628.487235629)
31046,50209,9.839,POINT (1220188.2719961773 6349651.554270048)
31047,49669,7.136,POINT (1320327.6312260707 6138950.253205468)
31051,51463,2.335,POINT (965761.3038245259 6822862.249460966)
31059,51569,2.052,POINT (1196300.88540923 6865602.282461306)
31064,51434,1.803,POINT (964981.2649956538 6798687.1390215885)
31070,50771,2.36,POINT (684657.6980647421 6587768.100438036)
31072,50985,2.529,POINT (733553.9431308797 6636895.320652081)
31074,51576,14.695,POINT (1199574.7026982077 6876392.721308389)
31075,51620,25.022,POINT (1180340.1171450524 6893416.158792458)
31076,51542,5.117,POINT (1139878.1516622412 6858460.699876346)
31082,51602,13.498,POINT (1223706.1052198887 6878771.385959429)
31083,51302,45.246,POINT (725961.1672899885 6725401.810158506)
31084,51450,11.606,POINT (1036811.0531637865 6812856.950288933)
31086,51254,3.31,POINT (838758.3480179537 6718985.201158057)
31088,51290,4.135,POINT (828849.8882199066 6727303.043168498)
31091,51549,1.978,POINT (1109358.8712533219 6857282.198787854)
31092,51277,1.687,POINT (731662.1563747653 6718704.280696155)
31099,50238,1.856,POINT (1202636.9683174673 6359244.566171725)
31102,52010,2.734,POINT (745054.898200979 6713858.2934601065)
31109,51193,2.757,POINT (740973.1444221252 6691460.30546398)
31115,51735,3.6,POINT (961361.3706297809 6993172.084846786)
31116,51801,0.347,POINT (944474.0128576928 7046616.665511916)
31120,50766,4.596,POINT (678216.2117748263 6581470.038656646)
31124,51110,6.662,POINT (737024.2658235617 6668742.176372885)
31125,50666,4.622,POINT (945881.6037425704 6545027.31097861)
31130,51472,1.561,POINT (1172761.3609222316 6829245.45773351)
31132,51019,12.781,POINT (1184789.121221707 6840454.406321388)
31133,51610,1.883,POINT (1173539.2785982932 6886272.854084111)
31134,51610,5.588,POINT (1173539.2785982932 6886272.854084111)
31139,51393,14.923,POINT (1567840.4117621353 6760776.977782238)
31140,49712,2.696,POINT (1324977.4516709994 6156524.393081453)
31141,51143,6.771,POINT (831430.3814234681 6687277.304052556)
31143,51417,12.734,POINT (1013843.9861748385 6788067.401474329)
31147,50422,4.947,POINT (939398.3748812877 6443164.307444026)
31149,50387,3.776,POINT (925675.2045340008 6434219.118111121)
31151,49545,1.863,POINT (1184898.541929122 6079177.302353928)
31153,51087,7.844,POINT (699771.2879080818 6660048.545388513)
31154,51041,0.939,POINT (699914.2750996667 6647750.739797994)
31155,50198,5.408,POINT (1211553.9993778584 6342357.609403989)
31158,50160,7.796,POINT (1201461.7283829907 6330482.384614343)
31159,50417,9.395,POINT (1140379.8995570028 6443385.653749013)
31162,51764,5.911,POINT (953572.7395929203 7017862.625883528)
31166,50184,9.694,POINT (1233600.1879294715 6338191.530195494)
31167,50533,11.371,POINT (1239652.9520340085 6483800.925598181)
31169,50392,21.833,POINT (1257009.081575331 6435457.834551977)
31171,50394,3.461,POINT (1203042.6106996438 6435104.137377123)
31173,50418,1.466,POINT (1185747.99492923 6443211.7061092425)
31175,49965,7.027,POINT (1309912.2828104259 6241016.631366587)
31177,50450,4.884,POINT (1136402.5490588371 6453909.864730511)
31178,50330,12.968,POINT (1131183.2053119089 6401046.934733409)
31179,50179,2.663,POINT (1182538.62510958 6375022.205343798)
31180,50335,4.614,POINT (1066607.625163595 6407053.933354566)
31182,50066,25.34,POINT (1221785.2380101269 6280252.691560839)
31183,49932,3.331,POINT (1245036.5707485406 6256656.482257537)
31184,49951,5.255,POINT (1281247.839127672 6239679.663923242)
31189,49482,24.935,POINT (1191085.477879285 6035403.593833577)
31190,50963,1.239,POINT (704919.9192908 6665588.676646142)
31192,49817,36.397,POINT (1187744.8371740903 6200721.698841924)
31193,51224,10.83,POINT (729419.0589642724 6699455.889491713)
31196,50430,6.558,POINT (987018.1959389736 6446294.372493419)
31197,50433,3.566,POINT (977598.6141695951 6449635.244239845)
31202,49720,5.483,POINT (1213148.276017207 6156226.015656741)
31207,51757,4.809,POINT (917805.013669553 7013415.134092506)
31212,49817,26.461,POINT (1187744.8371740903 6200721.698841924)
31228,51138,4.543,POINT (774984.1130238635 6678846.627786399)
31231,50084,3.929,POINT (1025544.0206602935 6298245.100456574)
31237,49769,30.001,POINT (1328211.526278903 6281097.784101047)
31239,50817,1.809,POINT (682041.8602796198 6590030.829133214)
31240,49602,12.275,POINT (1057646.0404252775 6108651.553455717)
31245,50425,2.006,POINT (1013794.18727597 6494924.522762156)
31254,51108,3.845,POINT (811834.7855195374 6672063.14843533)
31255,51422,8.19,POINT (848148.5794438067 6793932.466252147)
31263,49770,5.908,POINT (1024781.5955323644 6190889.96624141)
31265,50455,3.613,POINT (915007.2814139723 6459636.592057826)
31266,50698,8.806,POINT (783141.884407091 6555110.660308626)
31271,51576,8.839,POINT (1199574.7026982077 6876392.721308389)
31273,51278,4.496,POINT (1181388.135255847 6727118.114947495)
